sleeper_id,source,match_basis,sleeper_name,sleeper_position,fantasy_positions,league_eligibility,active,status,team,injury_status,years_exp,availability_class,my_gsis_id,name,draft_season,pick,draft_position,position_current_nflverse
13269,rookie,name+position,Fernando Mendoza,QB,QB,QB,True,Active,LV,,0.0,rostered,00-0041562,Fernando Mendoza,2026.0,1.0,QB,QB
13287,rookie,name+position,Jeremiyah Love,RB,RB,RB,True,Active,ARI,Questionable,0.0,rostered,00-0041027,Jeremiyah Love,2026.0,3.0,RB,RB
13279,rookie,name+position,Carnell Tate,WR,WR,WR,True,Active,TEN,Questionable,0.0,rostered,00-0041438,Carnell Tate,2026.0,4.0,WR,WR
13281,rookie,name+position,Jordyn Tyson,WR,WR,WR,True,Inactive,NO,IR,0.0,rostered,00-0041029,Jordyn Tyson,2026.0,8.0,WR,WR
13275,rookie,name+position,Ty Simpson,QB,QB,QB,True,Active,LAR,,0.0,rostered,00-0041568,Ty Simpson,2026.0,13.0,QB,QB
13330,rookie,name+position,Kenyon Sadiq,TE,TE,TE,True,Active,NYJ,Questionable,0.0,rostered,00-0041032,Kenyon Sadiq,2026.0,16.0,TE,TE
13294,rookie,name+position,Makai Lemon,WR,WR,WR,True,Active,PHI,,0.0,rostered,00-0040867,Makai Lemon,2026.0,20.0,WR,WR
13298,rookie,name+position,KC Concepcion,WR,WR,WR,True,Active,CLE,,0.0,rostered,00-0041547,KC Concepcion,2026.0,24.0,WR,WR
13276,rookie,name+position,Omar Cooper,WR,WR,WR,True,Active,NYJ,,0.0,rostered,00-0041511,Omar Cooper Jr.,2026.0,30.0,WR,WR
13286,rookie,name+position,Jadarian Price,RB,RB,RB,True,Active,SEA,,0.0,rostered,00-0041512,Jadarian Price,2026.0,32.0,RB,RB
13417,rookie,name+position,De'Zhaun Stribling,WR,WR,WR,True,Active,SF,Questionable,0.0,rostered,00-0041035,De'Zhaun Stribling,2026.0,33.0,WR,WR
13346,rookie,name+position,Denzel Boston,WR,WR,WR,True,Active,CLE,,0.0,rostered,00-0041037,Denzel Boston,2026.0,39.0,WR,WR
13274,rookie,name+position,Germie Bernard,WR,WR,WR,True,Active,PIT,,0.0,rostered,00-0041489,Germie Bernard,2026.0,47.0,WR,WR
13349,rookie,name+position,Eli Stowers,TE,TE,TE,True,Active,PHI,Questionable,0.0,rostered,00-0041483,Eli Stowers,2026.0,54.0,TE,TE
13299,rookie,name+position,Nate Boerkircher,TE,TE,TE,True,Active,JAX,,0.0,rostered,00-0041503,Nate Boerkircher,2026.0,56.0,TE,TE
13307,rookie,name+position,Marlin Klein,TE,TE,TE,True,Active,HOU,,0.0,active_free,00-0041472,Marlin Klein,2026.0,59.0,TE,TE
13278,rookie,name+position,Max Klare,TE,TE,TE,True,Active,LAR,,0.0,rostered,00-0041510,Max Klare,2026.0,61.0,TE,TE
13272,rookie,name+position,Carson Beck,QB,QB,QB,True,Active,ARI,,0.0,rostered,00-0041561,Carson Beck,2026.0,65.0,QB,QB
13322,rookie,name+position,Sam Roush,TE,TE,TE,True,Active,CHI,,0.0,active_free,00-0041558,Sam Roush,2026.0,69.0,TE,TE
13301,rookie,name+position,Antonio Williams,WR,WR,WR,True,Active,WAS,,0.0,rostered,00-0041040,Antonio Williams,2026.0,71.0,WR,WR
13319,rookie,name+position,Oscar Delp,TE,TE,TE,True,Active,NO,Questionable,0.0,active_free,00-0041041,Oscar Delp,2026.0,73.0,TE,TE
13285,rookie,name+position,Malachi Fields,WR,WR,WR,True,Active,NYG,,0.0,rostered,00-0041042,Malachi Fields,2026.0,74.0,WR,WR
13296,rookie,name+position,Caleb Douglas,WR,WR,WR,True,Active,MIA,,0.0,rostered,00-0041523,Caleb Douglas,2026.0,75.0,WR,WR
13289,rookie,name+position,Drew Allar,QB,QB,QB,True,Active,PIT,,0.0,rostered,00-0041565,Drew Allar,2026.0,76.0,QB,QB
13320,rookie,name+position,Zachariah Branch,WR,WR,WR,True,Active,ATL,,0.0,rostered,00-0041044,Zachariah Branch,2026.0,79.0,WR,WR
13293,rookie,name+position,Ja'Kobi Lane,WR,WR,WR,True,Active,BAL,,0.0,rostered,00-0040870,Ja'Kobi Lane,2026.0,80.0,WR,WR
13353,rookie,name+position,Chris Brazzell,WR,WR,WR,True,Inactive,CAR,IR,0.0,rostered,00-0041047,Chris Brazzell II,2026.0,83.0,WR,WR
13317,rookie,name+position,Ted Hurst,WR,WR,WR,True,Active,TB,,0.0,rostered,00-0041048,Ted Hurst,2026.0,84.0,WR,WR
13434,rookie,name+position,Will Kacmarek,TE,TE,TE,True,Active,MIA,Questionable,0.0,active_free,00-0041524,Will Kacmarek,2026.0,87.0,TE,TE
13411,rookie,name+position,Zavion Thomas,WR,WR,WR,True,Active,CHI,,0.0,rostered,00-0041051,Zavion Thomas,2026.0,89.0,WR,WR
13414,rookie,name+position,Kaelon Black,RB,RB,RB,True,Active,SF,,0.0,rostered,00-0041052,Kaelon Black,2026.0,90.0,RB,RB
13311,rookie,name+position,Chris Bell,WR,WR,WR,True,Active,MIA,,0.0,rostered,00-0041525,Chris Bell,2026.0,94.0,WR,WR
13421,rookie,name+position,Eli Raridon,TE,TE,TE,True,Active,NE,,0.0,rostered,00-0041395,Eli Raridon,2026.0,95.0,TE,TE
13380,rookie,name+position,Brenen Thompson,WR,WR,WR,True,Active,LAC,Questionable,0.0,active_free,00-0041550,Brenen Thompson,2026.0,105.0,WR,WR
13345,rookie,name+position,Jonah Coleman,RB,RB,RB,True,Active,DEN,,0.0,rostered,00-0041496,Jonah Coleman,2026.0,108.0,RB,RB
13303,rookie,name+position,Cade Klubnik,QB,QB,QB,True,Active,NYJ,,0.0,rostered,00-0041056,Cade Klubnik,2026.0,110.0,QB,QB
