sleeper_id,full_name,position,fantasy_positions,active,status,team,injury_status,years_exp,gsis_id
6462,Ellis Richardson,TE,TE,True,Active,,,3.0,00-0035057
11255,Nick Amoah,OL,OL,True,Active,,,3.0,
8842,Malkelm Morrison,CB,DB,True,Injured Reserve,,,1.0,
13940,Bruno Fina,OL,OL,True,Active,,,0.0,
7926,Carl Tucker,TE,TE,True,Active,,,1.0,
1875,C.J. Mosley,LB,LB,True,Active,,,11.0,00-0031296
8478,Samuel Womack,CB,DB,True,Active,NYJ,,4.0,
995,Ron Parker,FS,DB,False,Injured Reserve,,,11.0,00-0028445
1408,Le'Veon Bell,RB,RB,True,Active,,,9.0,00-0030496
8074,Matt Seybert,TE,TE,True,Active,,,1.0,
156,William Gay,CB,DB,False,Inactive,,,13.0,00-0025557
7311,Javin White,LB,DB|LB,True,Active,,,4.0,
2091,Bashaud Breeland,CB,DB,True,Active,ARI,,8.0,00-0031052
13175,Kinkead Dent,QB,QB,True,Inactive,,,0.0,
11533,Brandon Aubrey,K,K,True,Active,DAL,,3.0,
2508,Amarlo Herrera,LB,LB,False,Inactive,,,5.0,
2199,Kasim Edebali,DE,DL|LB,True,Inactive,,,8.0,00-0031255
2881,Tyler Slavin,WR,WR,False,Inactive,,,1.0,
2064,DeMarcus Lawrence,DE,DL,True,Active,SEA,,12.0,00-0031411
1284,Lance Dunbar,RB,RB,False,Inactive,,,8.0,
2801,DeAndrew White,WR,WR,True,Inactive,,,7.0,00-0031511
4501,Devaroe Lawrence,DT,DL,True,Active,,,5.0,00-0033501
5852,DeAndre Baker,CB,DB,True,Active,,,3.0,00-0035684
1073,Taylor Thompson,TE,TE,False,Inactive,,,3.0,
13569,Toriano Pride,CB,DB,True,Active,CLE,,0.0,
3374,Kevon Seymour,CB,DB,True,Active,,,10.0,00-0032942
8012,Corey Straughter,CB,DB,True,Active,,,1.0,
7918,A.J. Rose,RB,RB,True,Active,,,1.0,
777,Erik Pears,T,OL,False,Inactive,,,15.0,
13229,Decarius Hawthorne,DL,DL,True,Active,,,1.0,
13618,Jacob Thomas,DB,DB,True,Active,MIN,Questionable,0.0,
5428,Ricky Jeune,WR,WR,True,Active,,,4.0,
1982,Aaron Colvin,CB,DB,True,Active,,,8.0,00-0031259
12376,Marquis Wilson,DB,DB,True,Active,,,1.0,
7882,Christian Uphoff,DB,DB,True,Active,,,1.0,
8733,Jake Hummel,LB,LB,True,Active,HOU,,4.0,
13221,Brett Gabbert,QB,QB,True,Active,,,0.0,
11522,Jerome Kapp,WR,WR,True,Active,,,1.0,
2474,Nick Boyle,TE,TE,True,Active,,,8.0,00-0031598
8852,Ty Clary,OL,OL,False,Inactive,,,4.0,
8809,Aaron Shampklin,RB,RB,True,Active,,,3.0,
9487,Parker Washington,WR,WR,True,Active,JAX,,3.0,
6923,Geno Stone,DB,DB,True,Active,BUF,,6.0,
1907,Johnny Manziel,QB,QB,False,Inactive,,,6.0,
7325,Joe Gaziano,DE,DL,True,Active,,,5.0,
