season,season_type,rows,players,weeks_present,week_min,week_max,n_weeks,positions,rows_missing_player_id,rows_missing_player_id_with_points,rows_missing_fantasy_points_ppr
1999,POST,717,433,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,0,0,0
1999,REG,16122,1678,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,0,0,0
2000,POST,724,442,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,0,0,0
2000,REG,15899,1647,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,0,0,0
2001,POST,706,415,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2001,REG,16083,1659,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,17,3,0
2002,POST,731,426,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2002,REG,16750,1706,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,17,0,0
2003,POST,711,419,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2003,REG,16521,1735,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,17,1,0
2004,POST,718,440,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2004,REG,16554,1779,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,17,0,0
2005,POST,704,425,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
