season,column,dtype,non_null,nulls
1999,player_id,str,16839,0
1999,player_name,str,16818,21
1999,player_display_name,str,16800,39
1999,position,str,16800,39
1999,position_group,str,16800,39
1999,headshot_url,str,16800,39
1999,season,int32,16839,0
1999,week,int32,16839,0
1999,season_type,str,16839,0
1999,game_id,str,16839,0
1999,team,str,16838,1
1999,opponent_team,str,16838,1
1999,completions,int32,16839,0
1999,attempts,int32,16839,0
1999,passing_yards,int32,16839,0
1999,passing_tds,int32,16839,0
1999,passing_interceptions,int32,16839,0
1999,sacks_suffered,int32,16839,0
1999,sack_yards_lost,int32,16839,0
1999,sack_fumbles,int32,16839,0
1999,sack_fumbles_lost,int32,16839,0
1999,passing_air_yards,int32,16839,0
1999,passing_yards_after_catch,int32,16839,0
1999,passing_first_downs,int32,16839,0
1999,passing_epa,float64,675,16164
1999,passing_cpoe,float64,0,16839
1999,passing_2pt_conversions,int32,16839,0
1999,pacr,float64,636,16203
1999,passing_10,int32,16839,0
1999,passing_16,int32,16839,0
1999,passing_20,int32,16839,0
1999,passing_40,int32,16839,0
1999,carries,int32,16839,0
1999,rushing_yards,int32,16839,0
1999,rushing_tds,int32,16839,0
1999,rushing_fumbles,int32,16839,0
1999,rushing_fumbles_lost,int32,16839,0
1999,rushing_first_downs,int32,16839,0
1999,rushing_epa,float64,1979,14860
1999,rushing_2pt_conversions,int32,16839,0
1999,rushing_10,int32,16839,0
1999,rushing_12,int32,16839,0
1999,rushing_20,int32,16839,0
1999,rushing_40,int32,16839,0
1999,receptions,int32,16839,0
1999,targets,int32,16839,0
1999,receiving_yards,int32,16839,0
1999,receiving_tds,int32,16839,0
1999,receiving_fumbles,int32,16839,0
1999,receiving_fumbles_lost,int32,16839,0
1999,receiving_air_yards,int32,16839,0
1999,receiving_yards_after_catch,int32,16839,0
1999,receiving_first_downs,int32,16839,0
1999,receiving_epa,float64,4035,12804
1999,receiving_2pt_conversions,int32,16839,0
1999,receiving_10,int32,16839,0
1999,receiving_16,int32,16839,0
1999,receiving_20,int32,16839,0
1999,receiving_40,int32,16839,0
1999,racr,float64,3529,13310
1999,target_share,float64,16838,1
1999,air_yards_share,float64,10932,5907
1999,wopr,float64,10932,5907
1999,special_teams_tds,int32,16839,0
1999,def_tackles_solo,int32,16839,0
1999,def_tackles_with_assist,int32,16839,0
1999,def_tackle_assists,int32,16839,0
1999,def_tackles_for_loss,int32,16839,0
1999,def_tackles_for_loss_yards,int32,16839,0
1999,def_fumbles_forced,int32,16839,0
1999,def_sacks,float64,16839,0
1999,def_sack_yards,float64,16839,0
1999,def_qb_hits,int32,16839,0
1999,def_interceptions,int32,16839,0
1999,def_interception_yards,int32,16839,0
1999,def_pass_defended,int32,16839,0
1999,def_tds,int32,16839,0
1999,def_fumbles,int32,16839,0
1999,def_safeties,int32,16839,0
1999,def_punt_blocks,int32,16839,0
1999,def_pat_blocks,int32,16839,0
1999,def_fg_blocks,int32,16839,0
1999,def_2pt_atts,int32,16839,0
1999,def_2pt_made,int32,16839,0
1999,misc_yards,int32,16839,0
1999,fumble_recovery_own,int32,16839,0
1999,fumble_recovery_yards_own,int32,16839,0
1999,fumble_recovery_opp,int32,16839,0
1999,fumble_recovery_yards_opp,int32,16839,0
1999,fumble_recovery_tds,int32,16839,0
1999,penalties,int32,16839,0
1999,penalty_yards,int32,16839,0
1999,fumbles_forced_by_opp,int32,16839,0
1999,fumbles_not_forced,int32,16839,0
1999,fumbles_out_of_bounds,int32,16839,0
1999,fumbles_total,int32,16839,0
1999,fumbles_lost_total,int32,16839,0
1999,punt_returns,int32,16839,0
1999,punt_return_yards,int32,16839,0
1999,kickoff_returns,int32,16839,0
1999,kickoff_return_yards,int32,16839,0
1999,fg_made,int32,16839,0
1999,fg_att,int32,16839,0
1999,fg_missed,int32,16839,0
1999,fg_blocked,int32,16839,0
1999,fg_long,float64,409,16430
1999,fg_pct,float64,450,16389
1999,fg_made_0_19,int32,16839,0
1999,fg_made_20_29,int32,16839,0
1999,fg_made_30_39,int32,16839,0
1999,fg_made_40_49,int32,16839,0
1999,fg_made_50_59,int32,16839,0
1999,fg_made_60_,int32,16839,0
1999,fg_missed_0_19,int32,16839,0
1999,fg_missed_20_29,int32,16839,0
1999,fg_missed_30_39,int32,16839,0
1999,fg_missed_40_49,int32,16839,0
1999,fg_missed_50_59,int32,16839,0
1999,fg_missed_60_,int32,16839,0
1999,fg_made_list,str,409,16430
1999,fg_missed_list,str,162,16677
1999,fg_blocked_list,str,25,16814
1999,fg_made_distance,int32,16839,0
1999,fg_missed_distance,int32,16839,0
1999,fg_blocked_distance,int32,16839,0
1999,pat_made,int32,16839,0
1999,pat_att,int32,16839,0
1999,pat_missed,int32,16839,0
1999,pat_blocked,int32,16839,0
1999,pat_pct,float64,457,16382
1999,gwfg_made,int32,16839,0
1999,gwfg_att,int32,16839,0
1999,gwfg_missed,int32,16839,0
1999,gwfg_blocked,int32,16839,0
1999,gwfg_distance,int32,16839,0
1999,pt_att,int32,16839,0
1999,pt_blocked,int32,16839,0
1999,pt_long,float64,521,16318
1999,pt_yards,int32,16839,0
1999,pt_inside_20,int32,16839,0
1999,pt_out_of_bounds,int32,16839,0
1999,pt_downed,int32,16839,0
1999,pt_touchback,int32,16839,0
1999,pt_fair_caught,int32,16839,0
1999,pt_returned,int32,16839,0
1999,pt_return_yards,int32,16839,0
1999,pt_return_tds,int32,16839,0
1999,pt_net_yards,int32,16839,0
1999,fantasy_points,float64,16839,0
1999,fantasy_points_ppr,float64,16839,0
2000,player_id,str,16623,0
2000,player_name,str,16602,21
2000,player_display_name,str,16601,22
2000,position,str,16601,22
2000,position_group,str,16601,22
2000,headshot_url,str,16601,22
2000,season,int32,16623,0
2000,week,int32,16623,0
2000,season_type,str,16623,0
2000,game_id,str,16623,0
2000,team,str,16623,0
2000,opponent_team,str,16623,0
2000,completions,int32,16623,0
2000,attempts,int32,16623,0
2000,passing_yards,int32,16623,0
2000,passing_tds,int32,16623,0
2000,passing_interceptions,int32,16623,0
2000,sacks_suffered,int32,16623,0
2000,sack_yards_lost,int32,16623,0
2000,sack_fumbles,int32,16623,0
2000,sack_fumbles_lost,int32,16623,0
2000,passing_air_yards,int32,16623,0
2000,passing_yards_after_catch,int32,16623,0
2000,passing_first_downs,int32,16623,0
2000,passing_epa,float64,665,15958
2000,passing_cpoe,float64,0,16623
2000,passing_2pt_conversions,int32,16623,0
2000,pacr,float64,630,15993
2000,passing_10,int32,16623,0
2000,passing_16,int32,16623,0
2000,passing_20,int32,16623,0
2000,passing_40,int32,16623,0
2000,carries,int32,16623,0
2000,rushing_yards,int32,16623,0
2000,rushing_tds,int32,16623,0
2000,rushing_fumbles,int32,16623,0
2000,rushing_fumbles_lost,int32,16623,0
2000,rushing_first_downs,int32,16623,0
2000,rushing_epa,float64,1957,14666
2000,rushing_2pt_conversions,int32,16623,0
2000,rushing_10,int32,16623,0
2000,rushing_12,int32,16623,0
2000,rushing_20,int32,16623,0
2000,rushing_40,int32,16623,0
2000,receptions,int32,16623,0
2000,targets,int32,16623,0
2000,receiving_yards,int32,16623,0
2000,receiving_tds,int32,16623,0
2000,receiving_fumbles,int32,16623,0
2000,receiving_fumbles_lost,int32,16623,0
2000,receiving_air_yards,int32,16623,0
2000,receiving_yards_after_catch,int32,16623,0
2000,receiving_first_downs,int32,16623,0
2000,receiving_epa,float64,3868,12755
2000,receiving_2pt_conversions,int32,16623,0
2000,receiving_10,int32,16623,0
2000,receiving_16,int32,16623,0
2000,receiving_20,int32,16623,0
2000,receiving_40,int32,16623,0
2000,racr,float64,3384,13239
2000,target_share,float64,16623,0
2000,air_yards_share,float64,10512,6111
2000,wopr,float64,10512,6111
2000,special_teams_tds,int32,16623,0
2000,def_tackles_solo,int32,16623,0
2000,def_tackles_with_assist,int32,16623,0
2000,def_tackle_assists,int32,16623,0
2000,def_tackles_for_loss,int32,16623,0
2000,def_tackles_for_loss_yards,int32,16623,0
2000,def_fumbles_forced,int32,16623,0
2000,def_sacks,float64,16623,0
2000,def_sack_yards,float64,16623,0
2000,def_qb_hits,int32,16623,0
2000,def_interceptions,int32,16623,0
2000,def_interception_yards,int32,16623,0
2000,def_pass_defended,int32,16623,0
2000,def_tds,int32,16623,0
2000,def_fumbles,int32,16623,0
2000,def_safeties,int32,16623,0
2000,def_punt_blocks,int32,16623,0
2000,def_pat_blocks,int32,16623,0
2000,def_fg_blocks,int32,16623,0
2000,def_2pt_atts,int32,16623,0
2000,def_2pt_made,int32,16623,0
2000,misc_yards,int32,16623,0
2000,fumble_recovery_own,int32,16623,0
2000,fumble_recovery_yards_own,int32,16623,0
2000,fumble_recovery_opp,int32,16623,0
2000,fumble_recovery_yards_opp,int32,16623,0
2000,fumble_recovery_tds,int32,16623,0
2000,penalties,int32,16623,0
2000,penalty_yards,int32,16623,0
2000,fumbles_forced_by_opp,int32,16623,0
2000,fumbles_not_forced,int32,16623,0
2000,fumbles_out_of_bounds,int32,16623,0
2000,fumbles_total,int32,16623,0
2000,fumbles_lost_total,int32,16623,0
2000,punt_returns,int32,16623,0
2000,punt_return_yards,int32,16623,0
2000,kickoff_returns,int32,16623,0
2000,kickoff_return_yards,int32,16623,0
2000,fg_made,int32,16623,0
2000,fg_att,int32,16623,0
2000,fg_missed,int32,16623,0
2000,fg_blocked,int32,16623,0
2000,fg_long,float64,395,16228
2000,fg_pct,float64,441,16182
2000,fg_made_0_19,int32,16623,0
2000,fg_made_20_29,int32,16623,0
2000,fg_made_30_39,int32,16623,0
2000,fg_made_40_49,int32,16623,0
2000,fg_made_50_59,int32,16623,0
2000,fg_made_60_,int32,16623,0
2000,fg_missed_0_19,int32,16623,0
2000,fg_missed_20_29,int32,16623,0
2000,fg_missed_30_39,int32,16623,0
2000,fg_missed_40_49,int32,16623,0
2000,fg_missed_50_59,int32,16623,0
2000,fg_missed_60_,int32,16623,0
2000,fg_made_list,str,395,16228
2000,fg_missed_list,str,151,16472
2000,fg_blocked_list,str,22,16601
2000,fg_made_distance,int32,16623,0
2000,fg_missed_distance,int32,16623,0
2000,fg_blocked_distance,int32,16623,0
2000,pat_made,int32,16623,0
2000,pat_att,int32,16623,0
2000,pat_missed,int32,16623,0
2000,pat_blocked,int32,16623,0
2000,pat_pct,float64,441,16182
2000,gwfg_made,int32,16623,0
2000,gwfg_att,int32,16623,0
2000,gwfg_missed,int32,16623,0
2000,gwfg_blocked,int32,16623,0
2000,gwfg_distance,int32,16623,0
2000,pt_att,int32,16623,0
2000,pt_blocked,int32,16623,0
2000,pt_long,float64,509,16114
2000,pt_yards,int32,16623,0
2000,pt_inside_20,int32,16623,0
2000,pt_out_of_bounds,int32,16623,0
2000,pt_downed,int32,16623,0
2000,pt_touchback,int32,16623,0
2000,pt_fair_caught,int32,16623,0
2000,pt_returned,int32,16623,0
2000,pt_return_yards,int32,16623,0
2000,pt_return_tds,int32,16623,0
2000,pt_net_yards,int32,16623,0
2000,fantasy_points,float64,16623,0
2000,fantasy_points_ppr,float64,16623,0
2001,player_id,str,16768,21
2001,player_name,str,16780,9
2001,player_display_name,str,16768,21
2001,position,str,16768,21
2001,position_group,str,16768,21
2001,headshot_url,str,16768,21
2001,season,int32,16789,0
2001,week,int32,16789,0
2001,season_type,str,16789,0
2001,game_id,str,16789,0
2001,team,str,16789,0
2001,opponent_team,str,16787,2
2001,completions,int32,16789,0
2001,attempts,int32,16789,0
2001,passing_yards,int32,16789,0
2001,passing_tds,int32,16789,0
2001,passing_interceptions,int32,16789,0
2001,sacks_suffered,int32,16789,0
2001,sack_yards_lost,int32,16789,0
2001,sack_fumbles,int32,16789,0
2001,sack_fumbles_lost,int32,16789,0
2001,passing_air_yards,int32,16789,0
2001,passing_yards_after_catch,int32,16789,0
2001,passing_first_downs,int32,16789,0
2001,passing_epa,float64,647,16142
2001,passing_cpoe,float64,0,16789
2001,passing_2pt_conversions,int32,16789,0
2001,pacr,float64,610,16179
2001,passing_10,int32,16789,0
2001,passing_16,int32,16789,0
2001,passing_20,int32,16789,0
2001,passing_40,int32,16789,0
2001,carries,int32,16789,0
2001,rushing_yards,int32,16789,0
2001,rushing_tds,int32,16789,0
2001,rushing_fumbles,int32,16789,0
2001,rushing_fumbles_lost,int32,16789,0
2001,rushing_first_downs,int32,16789,0
2001,rushing_epa,float64,2056,14733
2001,rushing_2pt_conversions,int32,16789,0
2001,rushing_10,int32,16789,0
2001,rushing_12,int32,16789,0
2001,rushing_20,int32,16789,0
2001,rushing_40,int32,16789,0
2001,receptions,int32,16789,0
2001,targets,int32,16789,0
2001,receiving_yards,int32,16789,0
2001,receiving_tds,int32,16789,0
2001,receiving_fumbles,int32,16789,0
2001,receiving_fumbles_lost,int32,16789,0
2001,receiving_air_yards,int32,16789,0
2001,receiving_yards_after_catch,int32,16789,0
2001,receiving_first_downs,int32,16789,0
2001,receiving_epa,float64,3911,12878
2001,receiving_2pt_conversions,int32,16789,0
2001,receiving_10,int32,16789,0
2001,receiving_16,int32,16789,0
2001,receiving_20,int32,16789,0
2001,receiving_40,int32,16789,0
2001,racr,float64,3455,13334
2001,target_share,float64,16789,0
2001,air_yards_share,float64,10724,6065
2001,wopr,float64,10724,6065
2001,special_teams_tds,int32,16789,0
2001,def_tackles_solo,int32,16789,0
2001,def_tackles_with_assist,int32,16789,0
2001,def_tackle_assists,int32,16789,0
2001,def_tackles_for_loss,int32,16789,0
2001,def_tackles_for_loss_yards,int32,16789,0
2001,def_fumbles_forced,int32,16789,0
2001,def_sacks,float64,16789,0
2001,def_sack_yards,float64,16789,0
2001,def_qb_hits,int32,16789,0
2001,def_interceptions,int32,16789,0
2001,def_interception_yards,int32,16789,0
2001,def_pass_defended,int32,16789,0
2001,def_tds,int32,16789,0
2001,def_fumbles,int32,16789,0
2001,def_safeties,int32,16789,0
2001,def_punt_blocks,int32,16789,0
2001,def_pat_blocks,int32,16789,0
2001,def_fg_blocks,int32,16789,0
2001,def_2pt_atts,int32,16789,0
2001,def_2pt_made,int32,16789,0
2001,misc_yards,int32,16789,0
2001,fumble_recovery_own,int32,16789,0
2001,fumble_recovery_yards_own,int32,16789,0
2001,fumble_recovery_opp,int32,16789,0
2001,fumble_recovery_yards_opp,int32,16789,0
2001,fumble_recovery_tds,int32,16789,0
2001,penalties,int32,16789,0
2001,penalty_yards,int32,16789,0
2001,fumbles_forced_by_opp,int32,16789,0
2001,fumbles_not_forced,int32,16789,0
2001,fumbles_out_of_bounds,int32,16789,0
2001,fumbles_total,int32,16789,0
2001,fumbles_lost_total,int32,16789,0
2001,punt_returns,int32,16789,0
2001,punt_return_yards,int32,16789,0
2001,kickoff_returns,int32,16789,0
2001,kickoff_return_yards,int32,16789,0
2001,fg_made,int32,16789,0
2001,fg_att,int32,16789,0
2001,fg_missed,int32,16789,0
2001,fg_blocked,int32,16789,0
2001,fg_long,float64,404,16385
2001,fg_pct,float64,460,16329
2001,fg_made_0_19,int32,16789,0
2001,fg_made_20_29,int32,16789,0
2001,fg_made_30_39,int32,16789,0
2001,fg_made_40_49,int32,16789,0
2001,fg_made_50_59,int32,16789,0
2001,fg_made_60_,int32,16789,0
2001,fg_missed_0_19,int32,16789,0
2001,fg_missed_20_29,int32,16789,0
2001,fg_missed_30_39,int32,16789,0
2001,fg_missed_40_49,int32,16789,0
2001,fg_missed_50_59,int32,16789,0
2001,fg_missed_60_,int32,16789,0
2001,fg_made_list,str,404,16385
2001,fg_missed_list,str,174,16615
2001,fg_blocked_list,str,20,16769
2001,fg_made_distance,int32,16789,0
2001,fg_missed_distance,int32,16789,0
2001,fg_blocked_distance,int32,16789,0
2001,pat_made,int32,16789,0
2001,pat_att,int32,16789,0
2001,pat_missed,int32,16789,0
2001,pat_blocked,int32,16789,0
2001,pat_pct,float64,454,16335
2001,gwfg_made,int32,16789,0
2001,gwfg_att,int32,16789,0
2001,gwfg_missed,int32,16789,0
2001,gwfg_blocked,int32,16789,0
2001,gwfg_distance,int32,16789,0
2001,pt_att,int32,16789,0
2001,pt_blocked,int32,16789,0
2001,pt_long,float64,528,16261
