season,season_type,distinct_game_ids,expected_reg_games,shortfall,weeks,teams_seen
1999,POST,11,,,18:4|19:4|20:2|21:1,12
1999,REG,247,248.0,1.0,1:14|2:15|3:14|4:14|5:14|6:14|7:14|8:14|9:14|10:15|11:15|12:15|13:15|14:15|15:15|16:15|17:15,31
2000,POST,11,,,18:4|19:4|20:2|21:1,12
2000,REG,246,248.0,2.0,1:15|2:15|3:13|4:14|5:14|6:13|7:14|8:14|9:14|10:15|11:15|12:15|13:15|14:15|15:15|16:15|17:15,31
2001,POST,11,,,18:4|19:4|20:2|21:1,12
2001,REG,248,248.0,0.0,1:15|2:14|3:14|4:15|5:14|6:13|7:14|8:14|9:15|10:15|11:15|12:15|13:15|14:15|15:15|16:15|17:15,31
2002,POST,11,,,18:4|19:4|20:2|21:1,12
2002,REG,256,256.0,0.0,1:16|2:16|3:14|4:14|5:14|6:14|7:14|8:14|9:14|10:14|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2003,POST,11,,,18:4|19:4|20:2|21:1,12
2003,REG,256,256.0,0.0,1:16|2:16|3:14|4:14|5:14|6:14|7:14|8:14|9:14|10:14|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2004,POST,11,,,18:4|19:4|20:2|21:1,12
2004,REG,256,256.0,0.0,1:16|2:16|3:14|4:14|5:14|6:14|7:14|8:14|9:14|10:14|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2005,POST,11,,,18:4|19:4|20:2|21:1,12
2005,REG,256,256.0,0.0,1:16|2:16|3:14|4:14|5:14|6:14|7:14|8:14|9:14|10:14|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2006,POST,11,,,18:4|19:4|20:2|21:1,12
2006,REG,256,256.0,0.0,1:16|2:16|3:14|4:14|5:14|6:13|7:13|8:14|9:14|10:16|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2007,POST,11,,,18:4|19:4|20:2|21:1,12
2007,REG,256,256.0,0.0,1:16|2:16|3:16|4:14|5:14|6:13|7:14|8:13|9:14|10:14|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2008,POST,11,,,18:4|19:4|20:2|21:1,12
2008,REG,256,256.0,0.0,1:16|2:15|3:16|4:13|5:14|6:14|7:14|8:14|9:14|10:14|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2009,POST,11,,,18:4|19:4|20:2|21:1,12
2009,REG,256,256.0,0.0,1:16|2:16|3:16|4:14|5:14|6:14|7:13|8:13|9:13|10:15|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2010,POST,11,,,18:4|19:4|20:2|21:1,12
2010,REG,256,256.0,0.0,1:16|2:16|3:16|4:14|5:14|6:14|7:14|8:13|9:13|10:14|11:16|12:16|13:16|14:16|15:16|16:16|17:16,32
2011,POST,11,,,18:4|19:4|20:2|21:1,12
2011,REG,256,256.0,0.0,1:16|2:16|3:16|4:16|5:13|6:13|7:13|8:13|9:14|10:16|11:14|12:16|13:16|14:16|15:16|16:16|17:16,32
2012,POST,11,,,18:4|19:4|20:2|21:1,12
2012,REG,256,256.0,0.0,1:16|2:16|3:16|4:15|5:14|6:14|7:13|8:14|9:14|10:14|11:14|12:16|13:16|14:16|15:16|16:16|17:16,32
2013,POST,11,,,18:4|19:4|20:2|21:1,12
2013,REG,256,256.0,0.0,1:16|2:16|3:16|4:15|5:14|6:15|7:15|8:13|9:13|10:14|11:15|12:14|13:16|14:16|15:16|16:16|17:16,32
2014,POST,11,,,18:4|19:4|20:2|21:1,12
2014,REG,256,256.0,0.0,1:16|2:16|3:16|4:13|5:15|6:15|7:15|8:15|9:13|10:13|11:14|12:15|13:16|14:16|15:16|16:16|17:16,32
2015,POST,11,,,18:4|19:4|20:2|21:1,12
2015,REG,256,256.0,0.0,1:16|2:16|3:16|4:15|5:14|6:14|7:14|8:14|9:13|10:14|11:14|12:16|13:16|14:16|15:16|16:16|17:16,32
2016,POST,11,,,18:4|19:4|20:2|21:1,12
2016,REG,256,256.0,0.0,1:16|2:16|3:16|4:15|5:14|6:15|7:15|8:13|9:13|10:14|11:14|12:16|13:15|14:16|15:16|16:16|17:16,32
2017,POST,11,,,18:4|19:4|20:2|21:1,12
2017,REG,256,256.0,0.0,1:15|2:16|3:16|4:16|5:14|6:14|7:15|8:13|9:13|10:14|11:14|12:16|13:16|14:16|15:16|16:16|17:16,32
2018,POST,11,,,18:4|19:4|20:2|21:1,12
2018,REG,256,256.0,0.0,1:16|2:16|3:16|4:15|5:15|6:15|7:14|8:14|9:13|10:14|11:13|12:15|13:16|14:16|15:16|16:16|17:16,32
2019,POST,11,,,18:4|19:4|20:2|21:1,12
2019,REG,256,256.0,0.0,1:16|2:16|3:16|4:15|5:15|6:14|7:14|8:15|9:14|10:13|11:14|12:14|13:16|14:16|15:16|16:16|17:16,32
2020,POST,13,,,18:6|19:4|20:2|21:1,14
2020,REG,256,256.0,0.0,1:16|2:16|3:16|4:15|5:14|6:14|7:14|8:14|9:14|10:14|11:14|12:16|13:15|14:16|15:16|16:16|17:16,32
2021,POST,13,,,19:6|20:4|21:2|22:1,14
2021,REG,272,272.0,0.0,1:16|2:16|3:16|4:16|5:16|6:14|7:13|8:15|9:14|10:14|11:15|12:15|13:14|14:14|15:16|16:16|17:16|18:16,32
2022,POST,13,,,19:6|20:4|21:2|22:1,14
