player_id,season,week,season_type,position,team,fantasy_points_ppr
,2005,1,REG,,LV,6.0
,2005,2,REG,,NE,0.0
,2005,3,REG,,BUF,0.0
,2005,4,REG,,HOU,0.0
,2005,5,REG,,ATL,0.0
,2005,6,REG,,BAL,0.0
,2005,7,REG,,KC,0.0
,2005,8,REG,,CAR,0.0
,2005,9,REG,,BAL,0.0
,2005,10,REG,,KC,0.0
,2005,11,REG,,TB,0.0
,2005,12,REG,,ATL,0.0
,2005,13,REG,,BAL,0.0
,2005,14,REG,,NE,0.0
,2005,15,REG,,NE,0.0
,2005,16,REG,,CAR,0.0
,2005,17,REG,,DEN,0.0
,2005,18,POST,,TB,0.0
,2005,19,POST,,SEA,0.0
,2005,20,POST,,DEN,0.0
,2005,21,POST,,SEA,0.0
,2006,1,REG,,MIA,0.0
,2006,2,REG,,ATL,0.0
,2006,3,REG,,BUF,0.0
,2006,4,REG,,ARI,0.0
,2006,5,REG,,CAR,0.0
,2006,6,REG,,ATL,0.0
,2006,7,REG,,ATL,0.0
,2006,8,REG,,CHI,0.0
,2006,9,REG,,BAL,0.0
,2006,10,REG,,ATL,0.0
,2006,11,REG,,ATL,0.0
,2006,12,REG,,DET,0.0
,2006,13,REG,,CIN,0.0
,2006,14,REG,,PIT,0.0
,2006,15,REG,,SF,0.0
,2006,16,REG,,MIN,0.0
,2006,17,REG,,WAS,0.0
,2006,18,POST,,KC,0.0
,2006,19,POST,,BAL,0.0
,2006,20,POST,,NO,0.0
,2006,21,POST,,IND,0.0
,2007,1,REG,,IND,0.0
,2007,2,REG,,HOU,0.0
,2007,3,REG,,BAL,0.0
,2007,4,REG,,ATL,0.0
,2007,5,REG,,HOU,0.0
,2007,6,REG,,BAL,0.0
,2007,7,REG,,BUF,0.0
,2007,8,REG,,CAR,0.0
,2007,9,REG,,ATL,0.0
,2007,10,REG,,CAR,0.0
,2007,11,REG,,ATL,0.0
,2007,12,REG,,DET,0.0
,2007,13,REG,,GB,0.0
,2007,14,REG,,CHI,0.0
,2007,15,REG,,HOU,0.0
,2007,16,REG,,LA,0.0
,2007,17,REG,,NYG,0.0
,2007,18,POST,,WAS,0.0
,2007,19,POST,,SEA,0.0
,2007,20,POST,,LAC,0.0
,2007,21,POST,,NYG,0.0
,2008,1,REG,,NYG,0.0
,2008,2,REG,,CAR,0.0
,2008,3,REG,,ATL,0.0
,2008,4,REG,,ATL,0.0
,2008,5,REG,,TEN,0.0
,2008,6,REG,,ATL,0.0
,2008,7,REG,,LAC,0.0
,2008,8,REG,,LV,0.0
,2008,9,REG,,NYJ,0.0
,2008,10,REG,,DEN,0.0
,2008,11,REG,,NYJ,0.0
,2008,12,REG,,PIT,0.0
,2008,13,REG,,DET,0.0
,2008,14,REG,,LAC,0.0
,2008,15,REG,,NO,0.0
,2008,16,REG,,JAX,0.0
,2008,17,REG,,LA,0.0
,2008,18,POST,,ARI,0.0
,2008,19,POST,,BAL,0.0
,2008,20,POST,,ARI,0.0
,2008,21,POST,,PIT,0.0
,2009,1,REG,,PIT,0.0
,2009,2,REG,,CAR,0.0
,2009,3,REG,,CLE,0.0
,2009,4,REG,,DET,0.0
,2009,5,REG,,CIN,0.0
,2009,6,REG,,CIN,0.0
,2009,7,REG,,CLE,0.0
,2009,8,REG,,DEN,0.0
,2009,9,REG,,ATL,0.0
,2009,10,REG,,CHI,0.0
,2009,11,REG,,CAR,0.0
,2009,12,REG,,DET,0.0
,2009,13,REG,,BUF,0.0
,2009,14,REG,,CLE,0.0
,2009,15,REG,,JAX,0.0
,2009,16,REG,,LAC,0.0
,2009,17,REG,,BUF,0.0
,2009,18,POST,,CIN,0.0
,2009,19,POST,,ARI,0.0
,2009,20,POST,,IND,0.0
,2009,21,POST,,NO,0.0
,2010,1,REG,,NO,0.0
,2010,2,REG,,ATL,0.0
,2010,3,REG,,BAL,0.0
,2010,4,REG,,ATL,0.0
,2010,5,REG,,BAL,0.0
,2010,6,REG,,CHI,0.0
,2010,7,REG,,ATL,0.0
,2010,8,REG,,CIN,0.0
,2010,9,REG,,ATL,0.0
,2010,10,REG,,ATL,0.0
,2010,11,REG,,MIA,0.0
,2010,12,REG,,DET,0.0
,2010,13,REG,,PHI,0.0
,2010,14,REG,,IND,0.0
,2010,15,REG,,LAC,0.0
,2010,16,REG,,CAR,0.0
,2010,17,REG,,ATL,0.0
,2010,18,POST,,NO,0.0
,2010,19,POST,,BAL,0.0
,2010,20,POST,,GB,0.0
,2010,21,POST,,PIT,0.0
,2011,1,REG,,GB,0.0
,2011,2,REG,,LV,0.0
,2011,3,REG,,NE,0.0
,2011,4,REG,,CAR,0.0
,2011,5,REG,,PHI,0.0
,2011,6,REG,,ATL,0.0
,2011,7,REG,,CAR,0.0
,2011,8,REG,,ARI,0.0
,2011,9,REG,,BUF,0.0
,2011,10,REG,,LV,0.0
,2011,11,REG,,DEN,0.0
,2011,12,REG,,DET,0.0
,2011,13,REG,,SEA,0.0
