sleeper_id,name,position,rostered,gsis_id_universe,gsis_id_idmap,gsis_id,status,last_season_seen,cohort_position,games_2025
1,GJ Kinne,QB,False,,00-0029041,00-0029041,no_nfl_history,,,
1003,Trindon Holliday,WR,False,,00-0027606,00-0027606,left_cohort_two_absent_seasons,2014.0,,
1004,Ben Tate,RB,False,,00-0027890,00-0027890,left_cohort_two_absent_seasons,2014.0,,
1007,Kevin Brock,TE,False,,00-0026699,00-0026699,left_cohort_two_absent_seasons,2014.0,,
1009,Bryan Walters,WR,False,,00-0027595,00-0027595,left_cohort_two_absent_seasons,2016.0,,
1014,Richie Brockel,TE,False,,00-0027583,00-0027583,left_cohort_two_absent_seasons,2015.0,,
1020,Terrelle Pryor,WR,False,,00-0028825,00-0028825,left_cohort_two_absent_seasons,2018.0,,
10210,Cameron Latu,TE,False,00-0038564,00-0038564,00-0038564,forecast,2025.0,TE,10.0
10211,Camerun Peoples,RB,False,,00-0038777,00-0038777,no_nfl_history,,,
10212,Josh Whyle,TE,False,00-0038589,00-0038589,00-0038589,forecast,2025.0,TE,7.0
10213,Tre Tucker,WR,True,00-0038563,00-0038563,00-0038563,forecast,2025.0,WR,17.0
10214,Davis Allen,TE,False,00-0039074,00-0039074,00-0039074,forecast,2025.0,TE,15.0
10215,Jake Haener,QB,False,,00-0038998,00-0038998,forecast,2024.0,QB,0.0
10216,Kenny McIntosh,RB,False,,00-0038636,00-0038636,forecast,2024.0,RB,0.0
10217,Clayton Tune,QB,False,,00-0038582,00-0038582,forecast,2025.0,QB,2.0
10218,Xavier Hutchinson,WR,False,00-0038618,00-0038618,00-0038618,forecast,2025.0,WR,18.0
10219,Chris Rodriguez,RB,True,00-0038611,00-0038611,00-0038611,forecast,2025.0,RB,12.0
1022,Thaddeus Lewis,QB,False,,00-0027253,00-0027253,left_cohort_two_absent_seasons,2013.0,,
10220,Will Mallory,TE,False,,00-0038394,00-0038394,forecast,2025.0,TE,1.0
10221,Ronnie Bell,WR,False,,00-0038647,00-0038647,forecast,2025.0,WR,2.0
10222,Jayden Reed,WR,True,00-0039146,00-0039146,00-0039146,forecast,2025.0,WR,6.0
10223,Eric Gray,RB,False,,00-0038396,00-0038396,forecast,2025.0,RB,1.0
10224,Brayden Willis,TE,False,00-0038643,00-0038643,00-0038643,forecast,2025.0,TE,6.0
10225,Jonathan Mingo,WR,False,00-0039062,00-0039062,00-0039062,forecast,2025.0,WR,5.0
10226,Andrei Iosivas,WR,False,00-0038619,00-0038619,00-0038619,forecast,2025.0,WR,15.0
10227,Payne Durham,TE,False,00-0039050,00-0039050,00-0039050,forecast,2025.0,TE,8.0
10228,Charlie Jones,WR,False,00-0038576,00-0038576,00-0038576,forecast,2025.0,WR,14.0
10229,Rashee Rice,WR,True,00-0039067,00-0039067,00-0039067,forecast,2025.0,WR,8.0
10230,Jalen Wayne,WR,False,,,,no_gsis_mapping,,,
10231,Elijah Higgins,TE,False,00-0039041,00-0039041,00-0039041,forecast,2025.0,TE,17.0
10232,Michael Wilson,WR,True,00-0038559,00-0038559,00-0038559,forecast,2025.0,WR,17.0
10233,Max Duggan,QB,False,,00-0038637,00-0038637,no_nfl_history,,,
10234,Derius Davis,WR,False,00-0038573,00-0038573,00-0038573,forecast,2025.0,WR,12.0
10235,Roschon Johnson,RB,False,00-0039021,00-0039021,00-0039021,forecast,2025.0,RB,6.0
10236,Dalton Kincaid,TE,True,00-0038933,00-0038933,00-0038933,forecast,2025.0,TE,14.0
1026,Bryce Brown,RB,False,,00-0029429,00-0029429,left_cohort_two_absent_seasons,2015.0,,
1029,Nick Foles,QB,False,,00-0029567,00-0029567,left_cohort_two_absent_seasons,2022.0,,
103,Matt Forte,RB,False,,00-0026184,00-0026184,left_cohort_two_absent_seasons,2017.0,,
1030,Damaris Johnson,WR,False,,00-0029435,00-0029435,left_cohort_two_absent_seasons,2015.0,,
1033,Chris Polk,RB,False,,00-0029438,00-0029438,left_cohort_two_absent_seasons,2015.0,,
1034,Brandon Bolden,RB,False,,00-0029239,00-0029239,left_cohort_two_absent_seasons,2023.0,,
104,Donnie Avery,WR,False,,00-0026173,00-0026173,left_cohort_two_absent_seasons,2014.0,,
10444,Cedric Tillman,WR,True,00-0038979,00-0038979,00-0038979,forecast,2025.0,WR,12.0
1045,Trevor Graham,WR,False,,00-0029660,00-0029660,left_cohort_two_absent_seasons,2015.0,,
1046,Rishard Matthews,WR,False,,00-0029580,00-0029580,left_cohort_two_absent_seasons,2018.0,,
1048,Lamar Miller,RB,False,,00-0029615,00-0029615,left_cohort_two_absent_seasons,2020.0,,
1049,Ryan Tannehill,QB,False,,00-0029701,00-0029701,left_cohort_two_absent_seasons,2023.0,,
1050,Marcus Thigpen,WR,False,,00-0026577,00-0026577,left_cohort_two_absent_seasons,2015.0,,
1054,Stephen Hill,WR,False,,00-0028995,00-0028995,left_cohort_two_absent_seasons,2013.0,,
1059,Bobby Rainey,RB,False,,00-0029384,00-0029384,left_cohort_two_absent_seasons,2017.0,,
1060,Tommy Streeter,WR,False,,00-0029300,00-0029300,left_cohort_two_absent_seasons,2014.0,,
1061,Deonte Thompson,WR,False,,00-0029388,00-0029388,left_cohort_two_absent_seasons,2018.0,,
1065,Orson Charles,TE,False,,00-0029414,00-0029414,left_cohort_two_absent_seasons,2018.0,,
10651,Mohamed Ibrahim,RB,False,,00-0038656,00-0038656,left_cohort_two_absent_seasons,2023.0,,
1067,Marvin Jones,WR,False,,00-0029293,00-0029293,left_cohort_two_absent_seasons,2023.0,,
1071,Mohamed Sanu,WR,False,,00-0029632,00-0029632,left_cohort_two_absent_seasons,2021.0,,
1073,Taylor Thompson,TE,False,,00-0029590,00-0029590,left_cohort_two_absent_seasons,2014.0,,
1077,Travis Benjamin,WR,False,,00-0029269,00-0029269,left_cohort_two_absent_seasons,2021.0,,
108,Steve Johnson,WR,False,,00-0026364,00-0026364,left_cohort_two_absent_seasons,2015.0,,
1082,Trent Richardson,RB,False,,00-0029675,00-0029675,left_cohort_two_absent_seasons,2014.0,,
1085,Brandon Weeden,QB,False,,00-0029677,00-0029677,left_cohort_two_absent_seasons,2018.0,,
10857,Stetson Bennett,QB,False,,00-0039107,00-0039107,no_nfl_history,,,
10859,Sam LaPorta,TE,True,00-0039065,00-0039065,00-0039065,forecast,2025.0,TE,9.0
10860,Malik Cunningham,WR,False,,00-0038911,00-0038911,forecast,2025.0,WR,1.0
10861,Xazavian Valladay,RB,False,,00-0038727,00-0038727,no_nfl_history,,,
10862,Dorian Thompson-Robinson,QB,False,,00-0038583,00-0038583,forecast,2024.0,QB,0.0
10863,A.T. Perry,WR,False,,00-0038612,00-0038612,left_cohort_two_absent_seasons,2023.0,,
10864,Player Invalid,WR,False,,,,no_gsis_mapping,,,
10865,Travis Dye,RB,False,,00-0038495,00-0038495,no_nfl_history,,,
10866,Aidan O'Connell,QB,False,,00-0038579,00-0038579,forecast,2025.0,QB,1.0
10867,Jake Bobo,WR,False,00-0038752,00-0038752,00-0038752,forecast,2025.0,WR,8.0
10869,Matt Landers,WR,False,,00-0038762,00-0038762,no_nfl_history,,,
10870,Deneric Prince,RB,False,,00-0038518,00-0038518,no_nfl_history,,,
10871,Luke Schoonmaker,TE,False,00-0038547,00-0038547,00-0038547,forecast,2025.0,TE,14.0
1091,David Paulson,TE,False,,00-0029218,00-0029218,left_cohort_two_absent_seasons,2013.0,,
1097,Kendall Wright,WR,False,,00-0029708,00-0029708,left_cohort_two_absent_seasons,2017.0,,
10983,Sean Clifford,QB,False,,00-0038391,00-0038391,left_cohort_two_absent_seasons,2023.0,,
1102,Keshawn Martin,WR,False,,00-0029415,00-0029415,left_cohort_two_absent_seasons,2016.0,,
11024,Grant DuBose,WR,False,,00-0038507,00-0038507,forecast,2024.0,WR,0.0
11034,Jalen Brooks,WR,False,00-0038640,00-0038640,00-0038640,forecast,2025.0,WR,5.0
1104,DeVier Posey,WR,False,,00-0029673,00-0029673,left_cohort_two_absent_seasons,2014.0,,
11046,Colton Dowell,WR,False,,00-0038632,00-0038632,left_cohort_two_absent_seasons,2023.0,,
1105,Dwayne Allen,TE,False,,00-0029689,00-0029689,left_cohort_two_absent_seasons,2018.0,,
11053,Antoine Green,WR,False,,00-0038627,00-0038627,left_cohort_two_absent_seasons,2023.0,,
11056,Jared Wayne,WR,False,,00-0038728,00-0038728,forecast,2025.0,WR,1.0
1106,Vick Ballard,RB,False,,00-0029547,00-0029547,left_cohort_two_absent_seasons,2013.0,,
11060,Robert Burns,RB,False,,,,no_gsis_mapping,,,
11065,Adrian Martinez,QB,False,,00-0038658,00-0038658,forecast,2025.0,QB,1.0
11068,Mitch Tinsley,WR,False,00-0038839,00-0038839,00-0038839,forecast,2025.0,WR,8.0
1107,Coby Fleener,TE,False,,00-0029697,00-0029697,left_cohort_two_absent_seasons,2017.0,,
11070,Kazmeir Allen,WR,False,,00-0038830,00-0038830,no_nfl_history,,,
11073,Thayer Thomas,WR,False,,,,no_gsis_mapping,,,
11080,Malik Knowles,WR,False,,,,no_gsis_mapping,,,
11081,Cephus Johnson,WR,False,,,,no_gsis_mapping,,,
11082,Ben Sims,TE,False,,00-0038809,00-0038809,forecast,2025.0,TE,3.0
11089,Jordan Byrd,WR,False,,,,no_gsis_mapping,,,
1109,Chandler Harnish,QB,False,,00-0029554,00-0029554,no_nfl_history,,,
11099,Kearis Jackson,WR,False,,00-0038969,00-0038969,left_cohort_two_absent_seasons,2023.0,,
111,Marcedes Lewis,TE,False,,00-0024243,00-0024243,forecast,2025.0,TE,1.0
1110,T.Y. Hilton,WR,False,,00-0029608,00-0029608,left_cohort_two_absent_seasons,2022.0,,
11102,Charles McClelland,RB,False,,,,no_gsis_mapping,,,
11104,SaRodorick Thompson,RB,False,,00-0038910,00-0038910,no_nfl_history,,,
11105,Shaquan Davis,WR,False,,00-0038902,00-0038902,no_nfl_history,,,
1111,Andrew Luck,QB,False,,00-0029668,00-0029668,left_cohort_two_absent_seasons,2018.0,,
11111,Sy Barnett,WR,False,,,,no_gsis_mapping,,,
11113,Joel Wilson,TE,False,,,,no_gsis_mapping,,,
11114,Elijah Dotson,RB,False,,00-0038862,00-0038862,left_cohort_two_absent_seasons,2023.0,,
11115,Terrell Bynum,WR,False,,,,no_gsis_mapping,,,
11123,Tyler Hoosman,RB,False,,,,no_gsis_mapping,,,
11126,Michael Ezeike,TE,False,,,,no_gsis_mapping,,,
11130,Pokey Wilson,WR,False,,,,no_gsis_mapping,,,
11133,Jaray Jenkins,WR,False,,00-0038671,00-0038671,no_nfl_history,,,
11136,Oliver Martin,WR,False,,,,no_gsis_mapping,,,
11139,Elijah Cooks,WR,False,,00-0038667,00-0038667,left_cohort_two_absent_seasons,2023.0,,
1114,Justin Blackmon,WR,False,,00-0029707,00-0029707,left_cohort_two_absent_seasons,2013.0,,
11140,Leonard Taylor,TE,False,,,,no_gsis_mapping,,,
11148,Tyler Hudson,WR,False,,,,no_gsis_mapping,,,
11155,Christian Sims,TE,False,,,,no_gsis_mapping,,,
11157,Brycen Tremayne,WR,False,00-0038840,00-0038840,00-0038840,forecast,2025.0,WR,16.0
11158,Jalen Sample,WR,False,,,,no_gsis_mapping,,,
11159,Zion Bowens,WR,False,,,,no_gsis_mapping,,,
11163,Tim DeMorat,QB,False,,,,no_gsis_mapping,,,
11168,Xavier Smith,WR,False,00-0038359,00-0038359,00-0038359,forecast,2025.0,WR,19.0
11169,Dresser Winn,QB,False,,00-0038385,00-0038385,no_nfl_history,,,
11172,Shae Wyatt,WR,False,,,,no_gsis_mapping,,,
11176,Khalan Laborn,RB,False,,,,no_gsis_mapping,,,
11182,Ronald Awatt,RB,False,,,,no_gsis_mapping,,,
11184,Daniel Arias,WR,False,,00-0038702,00-0038702,no_nfl_history,,,
11186,Carlos Washington,RB,False,,00-0038930,00-0038930,no_nfl_history,,,
11189,Zay Malone,WR,False,,,,no_gsis_mapping,,,
11190,Keilahn Harris,WR,False,,,,no_gsis_mapping,,,
11191,Justin Marshall,WR,False,,,,no_gsis_mapping,,,
11192,Malik Flowers,WR,False,,00-0038904,00-0038904,no_nfl_history,,,
11197,Joel Honigford,TE,False,,,,no_gsis_mapping,,,
11199,Emari Demercado,RB,False,00-0038705,00-0038705,00-0038705,forecast,2025.0,RB,12.0
11201,Blake Whiteheart,TE,False,00-0038710,00-0038710,00-0038710,forecast,2025.0,TE,9.0
11204,Duece Watts,WR,False,,,,no_gsis_mapping,,,
11210,Malik Heath,WR,False,00-0038465,00-0038465,00-0038465,forecast,2025.0,WR,7.0
11213,Camren McDonald,TE,False,,,,no_gsis_mapping,,,
11214,Tanner Morgan,QB,False,,00-0038744,00-0038744,no_nfl_history,,,
11216,Holton Ahlers,QB,False,,00-0038749,00-0038749,no_nfl_history,,,
11222,Marcus Cooper,RB,False,,,,no_gsis_mapping,,,
11223,John Hall,WR,False,,,,no_gsis_mapping,,,
11224,Griffin Hebert,TE,False,,,,no_gsis_mapping,,,
11225,Noah Gindorff,TE,False,,00-0038758,00-0038758,no_nfl_history,,,
11226,Tyjon Lindsey,WR,False,,,,no_gsis_mapping,,,
11229,Calvin Tyler,RB,False,,,,no_gsis_mapping,,,
1123,Ronnie Hillman,RB,False,,00-0029683,00-0029683,left_cohort_two_absent_seasons,2016.0,,
11231,Christian Trahan,TE,False,,,,no_gsis_mapping,,,
11232,Isaiah Winstead,WR,False,,00-0038883,00-0038883,no_nfl_history,,,
11237,Jacob Saylors,RB,True,00-0038896,00-0038896,00-0038896,forecast,2025.0,RB,11.0
11245,Patrick Murtagh,TE,False,,,,no_gsis_mapping,,,
11247,Mac Hippenhammer,WR,False,,00-0038887,00-0038887,no_nfl_history,,,
11249,Chris Smith,RB,False,,,,no_gsis_mapping,,,
11256,Tyson Bagent,QB,False,,00-0038416,00-0038416,forecast,2025.0,QB,2.0
11257,Shedrick Jackson,WR,False,,00-0038891,00-0038891,forecast,2025.0,WR,3.0
1126,Brock Osweiler,QB,False,,00-0029682,00-0029682,left_cohort_two_absent_seasons,2018.0,,
11262,Damien Caffrey,TE,False,,,,no_gsis_mapping,,,
11266,Thyrick Pitts,WR,False,,,,no_gsis_mapping,,,
11267,Aron Cruickshank,WR,False,,,,no_gsis_mapping,,,
11270,Hassan Hall,RB,False,,00-0038714,00-0038714,no_nfl_history,,,
11276,Joseph Ngata,WR,False,,00-0038484,00-0038484,no_nfl_history,,,
11280,Brady Russell,RB,False,00-0038488,00-0038488,00-0038488,forecast,2025.0,RB,13.0
