veteran_feature_season,draft_status,rows,experience_note,experience
2011,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2011,drafted_skill_outside_cohort,29,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2011,drafted_skill_paired,66,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2011,drafted_skill_unpaired,393,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2011,no_draft_record,175,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2012,drafted_other_position,7,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2012,drafted_skill_outside_cohort,22,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2012,drafted_skill_paired,62,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2012,drafted_skill_unpaired,409,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2012,no_draft_record,189,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2013,drafted_other_position,4,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2013,drafted_skill_outside_cohort,9,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2013,drafted_skill_paired,55,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2013,drafted_skill_unpaired,405,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2013,no_draft_record,213,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2014,drafted_other_position,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2014,drafted_skill_outside_cohort,5,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2014,drafted_skill_paired,58,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2014,drafted_skill_unpaired,399,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2014,no_draft_record,226,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2015,drafted_other_position,5,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2015,drafted_skill_outside_cohort,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2015,drafted_skill_paired,59,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2015,drafted_skill_unpaired,400,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2015,no_draft_record,225,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2016,drafted_other_position,11,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2016,drafted_skill_outside_cohort,3,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2016,drafted_skill_paired,58,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2016,drafted_skill_unpaired,411,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2016,no_draft_record,257,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2017,drafted_other_position,13,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2017,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2017,drafted_skill_paired,62,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2017,drafted_skill_unpaired,396,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2017,no_draft_record,256,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2018,drafted_other_position,12,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
2018,drafted_skill_outside_cohort,1,experience is computed from the draft table for drafted players only; rows without a draft record carry no experience (DG-177 seasons_played is left-censored at 2005),1
