player_id,name,draft_season,pick,round,draft_position,veteran_position,experience,target_season,rookie_forecast_year,rookie_information_through_season,veteran_feature_season,veteran_information_through_season,information_gap_seasons,appeared,points,games,label_source,rookie_p_appear,rookie_e_points,rookie_e_points_given_appear,rookie_e_games,veteran_p_appear,veteran_e_points,veteran_e_points_given_appear,veteran_e_games,veteran_games_t,thin_history,veteran_row_without_window_appearance,err_rookie,err_veteran,abs_err_rookie,abs_err_veteran,sq_err_rookie,sq_err_veteran,veteran_closer
00-0027939,Cam Newton,2011,1,1,QB,QB,1,2012,2011,2010,2011,2011,1,1.0,314.14,15.0,artifact,0.977892753495216,160.64898567820208,164.28078140880507,12.46457871945496,0.9024682745822304,220.0334284072852,243.81292351705423,12.719320141026166,16,False,False,-153.4910143217979,-94.1065715927148,153.4910143217979,94.1065715927148,23559.49147753437,8856.046816934757,True
00-0027942,A.J. Green,2011,4,1,WR,WR,1,2012,2011,2010,2011,2011,1,1.0,295.2,15.0,artifact,0.9534234266247774,149.5104566447272,156.81433083096195,12.74745674732639,0.9922589444364605,169.8737517118068,171.19901278217674,12.767329963483013,16,False,False,-145.68954335527278,-125.3262482881932,145.68954335527278,125.3262482881932,21225.443043067906,15706.66850999385,True
00-0027944,Julio Jones,2011,6,1,WR,WR,1,2012,2011,2010,2011,2011,1,1.0,253.2,15.0,artifact,0.9618519898025404,144.72950878647092,150.46962559819897,12.478302179147905,0.993410888275825,173.9390241100275,175.09272966790007,12.541208221898314,14,False,False,-108.47049121352907,-79.26097588997249,108.47049121352907,79.26097588997249,11765.847464104289,6282.3022990308,True
00-0027946,Jake Locker,2011,8,1,QB,QB,1,2012,2011,2010,2011,2011,1,1.0,125.76,10.0,artifact,0.9516496029934258,108.92619613471444,114.4604020136043,9.826544902323164,0.7720459621006563,63.059792677721774,81.6788064095856,6.190455570464791,5,False,False,-16.83380386528556,-62.70020732227823,16.83380386528556,62.70020732227823,283.37695257490304,3931.3159982566726,False
00-0027948,Blaine Gabbert,2011,10,1,QB,QB,1,2012,2011,2010,2011,2011,1,1.0,94.08,10.0,artifact,0.9626510203229026,113.83475413426822,118.25132029266904,9.539695110141729,0.8520265775341846,102.60281452357236,120.42208216146376,8.769370885871922,15,False,False,19.754754134268225,8.522814523572364,19.754754134268225,8.522814523572364,390.25031090538755,72.63836740321602,True
00-0027950,Christian Ponder,2011,12,1,QB,QB,1,2012,2011,2010,2011,2011,1,1.0,171.24,15.0,artifact,0.9453612724084056,99.8221145579538,105.59149974871156,9.301754976841496,0.8390412670152487,99.63088684145616,118.74372662965274,8.210201153379522,11,False,False,-71.41788544204621,-71.60911315854385,71.41788544204621,71.60911315854385,5100.514361013236,5127.865087353138,False
00-0027964,Jonathan Baldwin,2011,26,1,WR,WR,1,2012,2011,2010,2011,2011,1,1.0,58.5,13.0,artifact,0.9552193850173684,106.83545322647178,111.84389146848106,11.276973030226214,0.9041642808773088,62.70015875559775,69.34598068258117,9.48478721379319,11,False,False,48.335453226471785,4.200158755597748,48.335453226471785,4.200158755597748,2336.3160386084414,17.641333572224422,True
00-0027966,Mark Ingram,2011,28,1,RB,RB,1,2012,2011,2010,2011,2011,1,1.0,95.2,15.0,artifact,0.9702180001648316,146.60616601051674,151.1064173058113,12.152855766477412,0.9142492707904256,107.27294387207532,117.33445932019302,9.822184303483088,10,False,False,51.40616601051674,12.072943872075314,51.40616601051674,12.072943872075314,2642.5939039008067,145.75597373828086,True
00-0027973,Andy Dalton,2011,35,2,QB,QB,1,2012,2011,2010,2011,2011,1,1.0,243.24,15.0,artifact,0.8700406694159877,67.26229619874668,77.30937019748319,6.998142948981921,0.8765099672255614,143.28721698439307,163.47471488309895,10.185106039749284,17,False,False,-175.9777038012533,-99.95278301560694,175.9777038012533,99.95278301560694,30968.152235161644,9990.558832565002,True
00-0027974,Colin Kaepernick,2011,36,2,QB,QB,1,2012,2011,2010,2011,2011,1,1.0,154.52,12.0,artifact,0.8679816574566379,66.5682710741007,76.69317721431952,6.952246547647742,0.5465397554738014,12.369793490582277,22.63292535756848,2.710215628366753,2,True,False,-87.9517289258993,-142.15020650941773,87.9517289258993,142.15020650941773,7735.506621054872,20206.681210670107,False
