week,sleeper_id,gsis_id,identity_status,roster_id,sleeper_points,research_ppr,league_points,diff_vs_research,diff_vs_league,attribution_status,unresolved_reason,reconciliation_reason,championship_window,status
1,10219,00-0038611,resolved,12,0.0,,,,,,,,True,absent_zero
1,10222,00-0039146,resolved,3,13.5,13.5,13.5,0.0,0.0,attributed,,,True,exact
1,10229,00-0039067,resolved,4,0.0,,,,,,,,True,absent_zero
1,10235,00-0039021,resolved,12,0.0,,,,,,,,True,absent_zero
1,10236,00-0038933,resolved,7,14.8,14.8,14.8,0.0,0.0,attributed,,,True,exact
1,10444,00-0038979,resolved,2,16.2,16.2,16.2,0.0,0.0,attributed,,,True,exact
1,10859,00-0039065,resolved,3,13.9,13.9,13.9,0.0,0.0,attributed,,,True,exact
1,11559,00-0039917,resolved,7,24.02,24.02,24.02,0.0,0.0,attributed,,,True,exact
1,11560,00-0039918,resolved,12,24.2,24.200000000000003,24.200000000000003,-3.552713678800501e-15,-3.552713678800501e-15,attributed,,,True,exact
1,11562,00-0039376,resolved,10,11.46,11.46,11.46,0.0,0.0,attributed,,,True,exact
1,11563,00-0039732,resolved,2,6.84,6.84,6.84,0.0,0.0,attributed,,,True,exact
1,11564,00-0039851,resolved,11,15.78,15.78,15.78,0.0,0.0,attributed,,,True,exact
1,11565,00-0039923,resolved,1,22.22,22.22,22.22,0.0,0.0,attributed,,,True,exact
1,11566,00-0039910,resolved,7,20.12,20.12,20.12,0.0,0.0,attributed,,,True,exact
1,11571,00-0039798,resolved,5,1.8,1.8,1.8,0.0,0.0,attributed,,,True,exact
1,11575,00-0039875,resolved,4,1.1,1.0999999999999999,1.0999999999999999,2.220446049250313e-16,2.220446049250313e-16,attributed,,,True,exact
1,11576,00-0039794,resolved,1,6.9,6.9,6.9,0.0,0.0,attributed,,,True,exact
1,11579,00-0039373,resolved,8,0.0,,,,,,,,True,absent_zero
1,11581,00-0039811,resolved,11,0.0,,,,,,,,True,absent_zero
1,11583,00-0039344,resolved,3,0.0,,,,,,,,True,absent_zero
1,11584,00-0039361,resolved,2,14.5,14.5,14.5,0.0,0.0,attributed,,,True,exact
1,11586,00-0039738,resolved,4,2.6,2.6,2.6,0.0,0.0,attributed,,,True,exact
1,11589,00-0039921,resolved,4,8.5,8.5,8.5,0.0,0.0,attributed,,,True,exact
1,11596,00-0039912,resolved,9,0.0,,,,,,,,True,absent_zero
1,11600,00-0039356,resolved,4,4.7,4.7,4.7,0.0,0.0,attributed,,,True,exact
