game_id,play_id,event_slot,event_type,player_id,team,week,season_type,special_teams,own_team,lost,status,ambiguity_reason,missing_player_id,desc,coverage_reason
2025_04_MIN_PIT,289,1,forced_fumble,00-0033294,PIT,4,REG,False,,,ambiguous,slot_capacity,False,"(9:47) 27-J.Mason left end to PIT 38 for 7 yards (21-C.Clark). FUMBLES (21-C.Clark), RECOVERED by PIT-5-J.Ramsey at PIT 38. 5-J.Ramsey for 62 yards, TOUCHDOWN. The Replay Official reviewed the ball was inbounds ruling, and the play was REVERSED. 27-J.Mason left end to PIT 38 for 7 yards (21-C.Clark). FUMBLES (21-C.Clark), ball out of bounds at PIT 38.",status_ambiguous
2025_04_MIN_PIT,289,1,fumble,00-0037525,MIN,4,REG,False,,False,ambiguous,slot_capacity,False,"(9:47) 27-J.Mason left end to PIT 38 for 7 yards (21-C.Clark). FUMBLES (21-C.Clark), RECOVERED by PIT-5-J.Ramsey at PIT 38. 5-J.Ramsey for 62 yards, TOUCHDOWN. The Replay Official reviewed the ball was inbounds ruling, and the play was REVERSED. 27-J.Mason left end to PIT 38 for 7 yards (21-C.Clark). FUMBLES (21-C.Clark), ball out of bounds at PIT 38.",status_ambiguous
2025_10_NO_CAR,2504,1,fumble,00-0027962,NO,10,REG,False,,True,ambiguous,st_classifier_conflict,False,"(6:36) 10-R.Fitzgerald 48 yard field goal is BLOCKED (93-N.Shepherd), Center-44-J.Jansen, Holder-6-S.Martin, recovered by CAR-68-D.Lewis at NO 30. The Replay Official reviewed the kick touched ruling, and the play was REVERSED. 10-R.Fitzgerald 48 yard field goal is BLOCKED (93-N.Shepherd), Center-44-J.Jansen, Holder-6-S.Martin. 94-C.Jordan MUFFS catch at NO 29, RECOVERED by CAR-68-D.Lewis at NO 30.",status_ambiguous
2025_10_NO_CAR,2504,1,recovery,00-0036417,CAR,10,REG,False,False,,ambiguous,st_classifier_conflict,False,"(6:36) 10-R.Fitzgerald 48 yard field goal is BLOCKED (93-N.Shepherd), Center-44-J.Jansen, Holder-6-S.Martin, recovered by CAR-68-D.Lewis at NO 30. The Replay Official reviewed the kick touched ruling, and the play was REVERSED. 10-R.Fitzgerald 48 yard field goal is BLOCKED (93-N.Shepherd), Center-44-J.Jansen, Holder-6-S.Martin. 94-C.Jordan MUFFS catch at NO 29, RECOVERED by CAR-68-D.Lewis at NO 30.",status_ambiguous
2025_11_GB_NYG,2049,1,fumble,00-0037076,GB,11,REG,False,,False,ambiguous,slot_capacity,False,"(:38) (Shotgun) 75-S.Rhyan to GB 33 for -5 yards. FUMBLES, recovered by GB-10-J.Love at GB 33. 10-J.Love pass short right to 88-L.Musgrave to GB 40 for 2 yards (33-D.Flannigan-Fowles). FUMBLES (33-D.Flannigan-Fowles), RECOVERED by NYG-33-D.Flannigan-Fowles at GB 41. The Replay Official reviewed the pass completion ruling, and the play was REVERSED. (Shotgun) 75-S.Rhyan to GB 33 for -5 yards. FUMBLES, recovered by GB-10-J.Love at GB 33. 10-J.Love pass incomplete short right to 88-L.Musgrave (33-D.Flannigan-Fowles).",status_ambiguous
2025_11_GB_NYG,2049,1,recovery,00-0036264,GB,11,REG,False,True,,ambiguous,slot_capacity,False,"(:38) (Shotgun) 75-S.Rhyan to GB 33 for -5 yards. FUMBLES, recovered by GB-10-J.Love at GB 33. 10-J.Love pass short right to 88-L.Musgrave to GB 40 for 2 yards (33-D.Flannigan-Fowles). FUMBLES (33-D.Flannigan-Fowles), RECOVERED by NYG-33-D.Flannigan-Fowles at GB 41. The Replay Official reviewed the pass completion ruling, and the play was REVERSED. (Shotgun) 75-S.Rhyan to GB 33 for -5 yards. FUMBLES, recovered by GB-10-J.Love at GB 33. 10-J.Love pass incomplete short right to 88-L.Musgrave (33-D.Flannigan-Fowles).",status_ambiguous
2025_15_WAS_NYG,4144,1,forced_fumble,00-0040677,NYG,15,REG,False,,,ambiguous,slot_capacity,False,"(2:42) 71-A.Wylie reported in as eligible. 26-J.McNichols left tackle to NYG 46 for -7 yards (27-T.Nubin, 51-A.Carter). FUMBLES (51-A.Carter), RECOVERED by NYG-51-A.Carter at NYG 48. 51-A.Carter to NYG 42 for -6 yards. Lateral to 21-P.Adebo to WAS 40 for 18 yards. Lateral to 8-J.Holland to WAS 29 for 11 yards (87-J.Bates; 76-S.Cosmi). The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. 71-A.Wylie reported in as eligible. 26-J.McNichols left tackle to NYG 46 for -7 yards (27-T.Nubin, 51-A.Carter). FUMBLES (51-A.Carter), RECOVERED by NYG-51-A.Carter at NYG 48. 51-A.Carter to NYG 49 for 1 yard (26-J.McNichols).",status_ambiguous
2025_15_WAS_NYG,4144,1,fumble,00-0033955,WAS,15,REG,False,,True,ambiguous,slot_capacity,False,"(2:42) 71-A.Wylie reported in as eligible. 26-J.McNichols left tackle to NYG 46 for -7 yards (27-T.Nubin, 51-A.Carter). FUMBLES (51-A.Carter), RECOVERED by NYG-51-A.Carter at NYG 48. 51-A.Carter to NYG 42 for -6 yards. Lateral to 21-P.Adebo to WAS 40 for 18 yards. Lateral to 8-J.Holland to WAS 29 for 11 yards (87-J.Bates; 76-S.Cosmi). The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. 71-A.Wylie reported in as eligible. 26-J.McNichols left tackle to NYG 46 for -7 yards (27-T.Nubin, 51-A.Carter). FUMBLES (51-A.Carter), RECOVERED by NYG-51-A.Carter at NYG 48. 51-A.Carter to NYG 49 for 1 yard (26-J.McNichols).",status_ambiguous
2025_15_WAS_NYG,4144,1,recovery,00-0040677,NYG,15,REG,False,False,,ambiguous,slot_capacity,False,"(2:42) 71-A.Wylie reported in as eligible. 26-J.McNichols left tackle to NYG 46 for -7 yards (27-T.Nubin, 51-A.Carter). FUMBLES (51-A.Carter), RECOVERED by NYG-51-A.Carter at NYG 48. 51-A.Carter to NYG 42 for -6 yards. Lateral to 21-P.Adebo to WAS 40 for 18 yards. Lateral to 8-J.Holland to WAS 29 for 11 yards (87-J.Bates; 76-S.Cosmi). The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. 71-A.Wylie reported in as eligible. 26-J.McNichols left tackle to NYG 46 for -7 yards (27-T.Nubin, 51-A.Carter). FUMBLES (51-A.Carter), RECOVERED by NYG-51-A.Carter at NYG 48. 51-A.Carter to NYG 49 for 1 yard (26-J.McNichols).",status_ambiguous
2025_16_LA_SEA,1839,1,forced_fumble,00-0036349,LA,16,REG,False,,,ambiguous,slot_capacity,False,"(:51) (Shotgun) 14-S.Darnold pass short middle to 10-C.Kupp to LA 17 for 17 yards (3-K.Curl). FUMBLES (3-K.Curl), RECOVERED by LA-14-C.Durant at LA 1. The Replay Official reviewed the touchback ruling, and the play was REVERSED. (Shotgun) 14-S.Darnold pass short middle to 10-C.Kupp to LA 17 for 17 yards (3-K.Curl). FUMBLES (3-K.Curl), RECOVERED by LA-14-C.Durant at LA 0. Touchback.",status_ambiguous
