sleeper_id,name,league_position,fantasy_positions,availability_class,nfl_team,nfl_status_raw,gsis_id,join_basis,sleeper_gsis_agrees,identity_status,draft_status,draft_sources_positive,draft_sources_checked,draft_season,draft_round,draft_pick,draft_position,draft_sources_agree,draft_conflict_detail,birth_date,age_2026,entry_season,rookie_season,college,nfl_appearance_seasons,first_appearance_season,last_appearance_season,seasons_since_last_appearance,window_points_last_appearance,dg177_2025_feature_row,dg177_2025_forecast_row,dg177_last_feature_season,dg165_rookie_2026_row,full_nfl_source_reason,full_nfl_last_season_seen,full_nfl_games_2025,route,route_reason,inputs_available
1737,Case Keenum,QB,QB,active,CHI,ACT,00-0028986,sleeper_id,True,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1988-02-17,38.53798767967146,2012.0,2012.0,Houston,11,2013.0,2023.0,2.0,9.74,False,False,2024.0,False,left_cohort_two_absent_seasons,2023.0,,dormant_no_draft_record,"appeared in 11 window season(s), last 2023; 2 season(s) absent since","birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
13415,Haynes King,QB,QB,active,CAR,ACT,00-0041149,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2001-01-09,25.642710472279262,2026.0,2026.0,Georgia Tech; Texas A&M,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13425,Jalon Daniels,QB,QB,active,TB,ACT,00-0041251,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2002-10-29,23.84120465434634,2026.0,2026.0,Kansas,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
13350,Joe Fagnano,QB,QB,active,BAL,ACT,00-0040981,sleeper_id,,verified_nfl_join,no_draft_record_1_source,0,1,,,,,,,2001-03-31,25.420944558521562,2026.0,2026.0,Connecticut; Maine,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_no_draft_record,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","birth_date,entry_season,college"
12477,Kurtis Rourke,QB,QB,active,SF,ACT,00-0040589,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2025.0,7.0,227.0,QB,True,,2000-10-25,25.8507871321013,2025.0,2025.0,Indiana,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
12494,Kyle McCord,QB,QB,active,MIA,ACT,00-0040014,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2025.0,6.0,181.0,QB,True,,2002-09-19,23.95071868583162,2025.0,2025.0,Syracuse; Ohio State,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
7583,Sam Ehlinger,QB,QB,active,DEN,ACT,00-0036879,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2021.0,6.0,218.0,QB,True,,1998-09-30,27.920602327173167,2021.0,2021.0,Texas,2,2021.0,2022.0,3.0,21.160000000000004,False,False,2023.0,False,left_cohort_two_absent_seasons,2022.0,,dormant_drafted,"appeared in 2 window season(s), last 2022; 3 season(s) absent since","draft_season,birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
10857,Stetson Bennett,QB,QB,active,LA,ACT,00-0039107,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2023.0,4.0,128.0,QB,True,,1997-10-28,28.843258042436688,2023.0,2023.0,Georgia; Jones County JC,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
12511,Will Howard,QB,QB,active,PIT,ACT,00-0040203,sleeper_id,,verified_nfl_join,drafted_verified,3,3,2025.0,6.0,185.0,QB,True,,2001-09-24,24.93634496919918,2025.0,2025.0,Ohio State; Kansas State,0,,,,,False,False,,False,no_nfl_history,,,never_appeared_drafted,"no championship-window stat row in the common outcome artifact 2001–2025; a statement about the artifact's records, not a claim of zero individual production observed","draft_season,birth_date,entry_season,college"
6109,Alec Ingold,RB,RB,active,LAC,ACT,00-0035125,sleeper_id,True,verified_nfl_join,no_draft_record_2_sources,0,2,,,,,,,1996-07-09,30.146475017111566,2019.0,2019.0,Wisconsin,7,2019.0,2025.0,0.0,12.8,True,True,2025.0,False,not_in_dg177_universe,,,existing_forecast_join_failure,"a DG-177 2025 forecast exists under this gsis id but the accepted board carries none for the Sleeper id — a join to investigate, not a new estimate","birth_date,entry_season,college,last_appearance_season,dg177_last_feature_season"
