position,season,bar_count,rows_in_panel,bar_points,short_panel
QB,2005,37,81,63.16,False
QB,2006,37,98,57.14000000000001,False
QB,2007,37,96,49.14,False
QB,2008,37,98,46.82,False
QB,2009,37,97,44.14,False
QB,2010,37,96,56.5,False
QB,2011,37,97,59.92,False
QB,2012,37,94,41.88,False
QB,2013,37,85,89.64,False
QB,2014,37,84,70.88,False
QB,2015,37,88,66.42,False
QB,2016,37,92,48.36000000000001,False
QB,2017,37,87,63.68,False
QB,2018,37,94,67.98,False
QB,2019,37,93,56.02,False
QB,2020,37,97,64.34,False
QB,2021,37,102,72.32000000000001,False
QB,2022,37,97,67.98,False
QB,2023,37,101,69.66,False
QB,2024,37,96,83.38,False
QB,2025,37,96,79.86,False
RB,2005,45,146,91.0,False
RB,2006,45,181,100.0,False
RB,2007,45,185,104.6,False
RB,2008,45,176,102.2,False
RB,2009,45,181,97.0,False
RB,2010,45,170,97.0,False
RB,2011,45,177,93.7,False
RB,2012,45,179,83.1,False
RB,2013,45,180,97.9,False
RB,2014,45,184,94.3,False
RB,2015,45,187,110.9,False
RB,2016,45,213,94.5,False
RB,2017,45,211,101.8,False
RB,2018,45,209,107.7,False
RB,2019,45,204,101.7,False
RB,2020,45,206,100.2,False
RB,2021,45,212,110.3,False
RB,2022,45,216,98.3,False
RB,2023,45,201,103.7,False
RB,2024,45,196,93.9,False
RB,2025,45,203,100.7,False
TE,2005,21,107,72.3,False
TE,2006,21,137,75.1,False
TE,2007,21,130,88.1,False
TE,2008,21,136,94.3,False
TE,2009,21,131,93.2,False
TE,2010,21,137,108.7,False
TE,2011,21,146,105.0,False
TE,2012,21,147,117.2,False
TE,2013,21,151,109.8,False
TE,2014,21,159,111.7,False
TE,2015,21,149,114.9,False
TE,2016,21,160,115.2,False
TE,2017,21,157,97.8,False
TE,2018,21,164,84.7,False
TE,2019,21,164,98.0,False
TE,2020,21,163,111.3,False
TE,2021,21,167,112.4,False
TE,2022,21,162,93.7,False
TE,2023,21,157,109.7,False
TE,2024,21,156,112.3,False
TE,2025,21,160,117.2,False
WR,2005,71,195,85.60000000000001,False
WR,2006,71,245,87.64,False
WR,2007,71,238,92.2,False
WR,2008,71,241,87.38,False
WR,2009,71,244,97.4,False
WR,2010,71,255,94.5,False
WR,2011,71,250,94.9,False
WR,2012,71,269,96.9,False
WR,2013,71,270,97.6,False
WR,2014,71,264,100.6,False
WR,2015,71,268,94.7,False
WR,2016,71,275,103.2,False
WR,2017,71,273,90.7,False
WR,2018,71,283,97.4,False
WR,2019,71,300,91.5,False
WR,2020,71,294,100.9,False
WR,2021,71,302,96.6,False
WR,2022,71,309,99.4,False
WR,2023,71,297,92.7,False
WR,2024,71,290,107.3,False
WR,2025,71,300,84.80000000000001,False
