position,season,bar_count,rows_in_panel,bar_points,short_panel
QB,2005,24,81,103.44,False
QB,2006,24,98,122.38,False
QB,2007,24,96,102.18,False
QB,2008,24,98,146.14,False
QB,2009,24,97,132.52,False
QB,2010,24,96,147.92000000000002,False
QB,2011,24,97,136.26,False
QB,2012,24,94,167.44,False
QB,2013,24,85,152.22,False
QB,2014,24,84,157.44,False
QB,2015,24,88,176.3,False
QB,2016,24,92,194.88,False
QB,2017,24,87,170.92,False
QB,2018,24,94,169.44,False
QB,2019,24,93,200.34,False
QB,2020,24,97,165.16,False
QB,2021,24,102,180.42,False
QB,2022,24,97,161.24,False
QB,2023,24,101,149.74,False
QB,2024,24,96,161.26,False
QB,2025,24,96,172.2,False
RB,2005,36,146,111.7,False
RB,2006,36,181,126.2,False
RB,2007,36,185,119.6,False
RB,2008,36,176,131.9,False
RB,2009,36,181,141.1,False
RB,2010,36,170,123.8,False
RB,2011,36,177,112.9,False
RB,2012,36,179,104.8,False
RB,2013,36,180,121.0,False
RB,2014,36,184,115.0,False
RB,2015,36,187,127.3,False
RB,2016,36,213,122.4,False
RB,2017,36,211,129.8,False
RB,2018,36,209,130.1,False
RB,2019,36,204,139.20000000000002,False
RB,2020,36,206,124.6,False
RB,2021,36,212,127.9,False
RB,2022,36,216,125.5,False
RB,2023,36,201,129.3,False
RB,2024,36,196,125.2,False
RB,2025,36,203,127.7,False
TE,2005,12,107,121.3,False
TE,2006,12,137,128.5,False
TE,2007,12,130,120.9,False
TE,2008,12,136,115.1,False
TE,2009,12,131,142.5,False
TE,2010,12,137,142.0,False
TE,2011,12,146,152.5,False
TE,2012,12,147,145.1,False
TE,2013,12,151,137.3,False
TE,2014,12,159,153.0,False
TE,2015,12,149,141.2,False
TE,2016,12,160,144.70000000000002,False
TE,2017,12,157,126.9,False
TE,2018,12,164,125.5,False
TE,2019,12,164,122.6,False
TE,2020,12,163,141.1,False
TE,2021,12,167,150.5,False
TE,2022,12,162,130.6,False
TE,2023,12,157,134.9,False
TE,2024,12,156,145.4,False
TE,2025,12,160,153.6,False
WR,2005,48,195,115.7,False
WR,2006,48,245,126.9,False
WR,2007,48,238,132.9,False
WR,2008,48,241,127.7,False
WR,2009,48,244,132.3,False
WR,2010,48,255,135.3,False
WR,2011,48,250,132.9,False
WR,2012,48,269,141.5,False
WR,2013,48,270,134.70000000000002,False
WR,2014,48,264,146.5,False
WR,2015,48,268,133.6,False
WR,2016,48,275,149.70000000000002,False
WR,2017,48,273,122.1,False
WR,2018,48,283,133.5,False
WR,2019,48,300,134.5,False
WR,2020,48,294,136.8,False
WR,2021,48,302,131.7,False
WR,2022,48,309,136.3,False
WR,2023,48,297,137.6,False
WR,2024,48,290,140.6,False
WR,2025,48,300,122.4,False
