player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0000865,2011,QB,6.12,artifact_row,6.12,2.04,3,37.0,6,True,1998.0,2.0,60.0,14.0,draft_year_outside_1_3,0,0
00-0001545,2011,QB,0.0,no_record_zero,0.0,,0,39.0,2,False,,,,,no_verified_draft_class,0,0
00-0002110,2011,QB,1.08,artifact_row,1.08,1.08,1,41.0,5,True,1993.0,5.0,118.0,19.0,draft_year_outside_1_3,0,0
00-0003292,2011,QB,19.14,artifact_row,19.14,6.38,3,39.0,7,True,1995.0,1.0,5.0,17.0,draft_year_outside_1_3,0,0
00-0003315,2011,QB,0.0,no_record_zero,0.0,,0,40.0,4,True,1995.0,2.0,45.0,17.0,draft_year_outside_1_3,0,0
00-0004161,2011,QB,0.0,artifact_row,10.44,10.44,1,36.0,7,False,,,,,no_verified_draft_class,0,0
00-0005106,2011,QB,0.0,no_record_zero,0.0,,0,42.0,6,True,1991.0,2.0,33.0,21.0,draft_year_outside_1_3,0,0
00-0007091,2011,QB,170.26,artifact_row,190.04,11.8775,16,36.0,7,True,1998.0,6.0,187.0,14.0,draft_year_outside_1_3,0,0
00-0009311,2011,QB,3.28,artifact_row,3.28,1.0933333333333335,3,39.0,6,False,,,,,no_verified_draft_class,0,0
00-0010346,2011,QB,0.0,no_record_zero,0.0,,0,35.0,6,True,1998.0,1.0,1.0,14.0,draft_year_outside_1_3,0,0
00-0011022,2011,QB,64.94,artifact_row,64.94,10.823333333333332,6,35.0,7,True,1999.0,1.0,2.0,13.0,draft_year_outside_1_3,0,0
00-0019041,2011,QB,-0.5,artifact_row,-0.5,-0.25,2,35.0,6,False,,,,,no_verified_draft_class,0,0
00-0019559,2011,QB,0.0,no_record_zero,0.0,,0,35.0,6,True,2000.0,1.0,18.0,12.0,draft_year_outside_1_3,0,0
00-0019596,2011,QB,342.78,artifact_row,432.42,22.758947368421055,19,34.0,7,True,2000.0,6.0,199.0,12.0,draft_year_outside_1_3,0,0
00-0019709,2011,QB,4.48,artifact_row,4.92,1.23,4,34.0,4,True,2000.0,3.0,75.0,12.0,draft_year_outside_1_3,0,0
00-0020245,2011,QB,211.32,artifact_row,233.02,17.924615384615386,13,31.0,5,True,2001.0,1.0,1.0,11.0,draft_year_outside_1_3,0,0
00-0020305,2011,QB,18.32,artifact_row,18.32,4.58,4,34.0,3,True,2001.0,5.0,155.0,11.0,draft_year_outside_1_3,0,0
00-0020480,2011,QB,0.0,no_record_zero,0.0,,0,33.0,5,True,2001.0,4.0,109.0,11.0,draft_year_outside_1_3,0,0
00-0020531,2011,QB,359.94,artifact_row,455.52,25.306666666666665,18,32.0,7,True,2001.0,2.0,32.0,11.0,draft_year_outside_1_3,0,0
00-0020608,2011,QB,0.0,no_record_zero,0.0,,0,32.0,6,True,2002.0,1.0,1.0,10.0,draft_year_outside_1_3,0,0
00-0020679,2011,QB,1.2200000000000002,artifact_row,1.2200000000000002,0.6100000000000001,2,31.0,6,False,,,,,no_verified_draft_class,0,0
00-0021206,2011,QB,13.96,artifact_row,25.36,8.453333333333333,3,32.0,6,True,2002.0,3.0,81.0,10.0,draft_year_outside_1_3,0,0
00-0021231,2011,QB,0.0,no_record_zero,0.0,,0,33.0,6,True,2002.0,4.0,108.0,10.0,draft_year_outside_1_3,0,0
00-0021429,2011,QB,112.84,artifact_row,136.12,13.612,10,32.0,7,True,2003.0,1.0,1.0,9.0,draft_year_outside_1_3,0,0
00-0021678,2011,QB,260.1,artifact_row,275.96000000000004,17.247500000000002,16,31.0,7,False,,,,,no_verified_draft_class,0,0
00-0022055,2011,QB,25.3,artifact_row,34.78,5.796666666666667,6,31.0,7,True,2003.0,4.0,110.0,9.0,draft_year_outside_1_3,0,0
00-0022101,2011,QB,0.0,no_record_zero,0.0,,0,32.0,2,True,2003.0,5.0,163.0,9.0,draft_year_outside_1_3,0,0
00-0022121,2011,QB,134.9,artifact_row,147.14,11.318461538461538,13,31.0,7,True,2003.0,1.0,22.0,9.0,draft_year_outside_1_3,0,0
00-0022164,2011,QB,4.24,artifact_row,4.24,2.12,2,30.0,6,True,2003.0,1.0,19.0,9.0,draft_year_outside_1_3,0,0
00-0022177,2011,QB,0.0,no_record_zero,0.0,,0,31.0,6,True,2003.0,1.0,7.0,9.0,draft_year_outside_1_3,0,0
00-0022787,2011,QB,158.06,artifact_row,158.06,15.806,10,30.0,7,True,2004.0,3.0,90.0,8.0,draft_year_outside_1_3,0,0
00-0022803,2011,QB,253.58,artifact_row,365.58,18.279,20,30.0,7,True,2004.0,1.0,1.0,8.0,draft_year_outside_1_3,0,0
