player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0027071,2011,QB,14.080000000000002,artifact_row,14.080000000000002,14.080000000000002,1,26.0,2,True,2009.0,4.0,101.0,3.0,,3,1
00-0027121,2011,QB,0.0,artifact_row,0.0,0.0,1,27.0,1,True,2009.0,6.0,174.0,3.0,,3,2
00-0027659,2011,QB,0.0,no_record_zero,0.0,,0,24.0,1,True,2010.0,2.0,48.0,2.0,,2,1
00-0027722,2011,QB,0.2800000000000004,artifact_row,0.2800000000000004,0.0933333333333334,3,24.0,1,True,2010.0,4.0,122.0,2.0,,2,1
00-0027775,2011,QB,0.0,no_record_zero,0.0,,0,24.0,1,True,2010.0,6.0,176.0,2.0,,2,1
00-0027796,2011,QB,46.14,artifact_row,50.34,6.2924999999999995,8,25.0,2,True,2010.0,6.0,199.0,2.0,,2,0
00-0027801,2011,QB,0.0,no_record_zero,0.0,,0,25.0,1,True,2010.0,6.0,204.0,2.0,,2,1
00-0027804,2011,QB,0.0,no_record_zero,0.0,,0,24.0,1,True,2010.0,7.0,209.0,2.0,,2,1
00-0027946,2011,QB,49.28,artifact_row,49.28,9.856,5,23.0,1,True,2011.0,1.0,8.0,1.0,,1,0
00-0027974,2011,QB,1.2000000000000002,artifact_row,1.2000000000000002,0.6000000000000001,2,24.0,1,True,2011.0,2.0,36.0,1.0,,1,0
00-0028090,2011,QB,41.78,artifact_row,55.080000000000005,6.885000000000001,8,24.0,1,True,2011.0,5.0,152.0,1.0,,1,0
00-0028118,2011,QB,0.92,artifact_row,0.92,0.4599999999999999,2,22.0,1,True,2011.0,6.0,180.0,1.0,,1,0
00-0026932,2011,RB,1.5,artifact_row,1.5,0.125,12,25.0,2,True,2009.0,6.0,185.0,3.0,,3,1
00-0026941,2011,RB,61.6,artifact_row,79.8,4.694117647058824,17,27.0,3,True,2009.0,6.0,209.0,3.0,,3,0
00-0026947,2011,RB,2.9000000000000004,artifact_row,2.9000000000000004,0.9666666666666668,3,24.0,1,True,2009.0,7.0,221.0,3.0,,3,2
00-0026956,2011,RB,55.8,artifact_row,65.10000000000001,4.65,14,24.0,3,True,2009.0,7.0,240.0,3.0,,3,0
00-0027094,2011,RB,0.0,no_record_zero,0.0,,0,25.0,1,True,2009.0,4.0,129.0,3.0,,3,2
00-0027098,2011,RB,0.0,no_record_zero,0.0,,0,25.0,2,True,2009.0,4.0,134.0,3.0,,3,1
00-0027120,2011,RB,69.2,artifact_row,69.2,5.766666666666667,12,24.0,3,True,2009.0,5.0,173.0,3.0,,3,0
00-0027129,2011,RB,1.9,artifact_row,1.9,1.9,1,26.0,3,True,2009.0,6.0,192.0,3.0,,3,0
00-0027130,2011,RB,0.0,no_record_zero,0.0,,0,25.0,2,True,2009.0,6.0,195.0,3.0,,3,1
00-0027140,2011,RB,77.5,artifact_row,77.5,6.458333333333333,12,25.0,2,True,2009.0,7.0,211.0,3.0,,3,1
00-0027155,2011,RB,0.0,no_record_zero,0.0,,0,26.0,2,True,2009.0,7.0,250.0,3.0,,3,1
00-0027612,2011,RB,2.7,artifact_row,2.7,0.27,10,24.0,1,True,2010.0,7.0,237.0,2.0,,2,1
00-0027666,2011,RB,53.0,artifact_row,52.8,5.866666666666667,9,24.0,1,True,2010.0,2.0,59.0,2.0,,2,1
00-0027712,2011,RB,46.3,artifact_row,46.3,3.086666666666667,15,23.0,2,True,2010.0,4.0,112.0,2.0,,2,0
00-0027772,2011,RB,12.6,artifact_row,22.6,1.4125,16,24.0,2,True,2010.0,6.0,173.0,2.0,,2,0
00-0027779,2011,RB,38.4,artifact_row,39.0,3.25,12,25.0,2,True,2010.0,6.0,180.0,2.0,,2,0
