origin,position,horizon,ordering,n,spearman,all_tied,n_positive,auc,picks,hits,points_captured,misses,busts,boundary_ties
2014,QB,23,rank_future_sum,7,-0.48181205582971587,False,3,0.25,2,0.0,0.0,3.0,2.0,0
2014,RB,23,rank_future_sum,36,0.35574687917754644,False,12,0.6527777777777778,2,2.0,621.4,10.0,0.0,0
2014,TE,23,rank_future_sum,28,0.6912482541052813,False,3,0.8,2,1.0,271.5,2.0,0.0,0
2014,WR,23,rank_future_sum,47,0.5273027374298218,False,7,0.7392857142857143,2,0.0,237.5,7.0,0.0,0
2015,QB,23,rank_future_sum,9,-0.48535989707831934,False,2,0.42857142857142855,2,0.0,2.3600000000000003,2.0,0.0,0
2015,RB,23,rank_future_sum,31,0.6670152062598227,False,7,0.8392857142857143,2,1.0,655.5999999999999,6.0,0.0,0
2015,TE,23,rank_future_sum,28,0.4111448388922722,False,4,0.6875,2,1.0,127.7,3.0,1.0,0
2015,WR,23,rank_future_sum,50,0.5154136912323057,False,9,0.7669376693766937,2,2.0,483.6,7.0,0.0,0
2016,QB,23,rank_future_sum,12,0.3821018506402369,False,2,0.85,2,1.0,212.88,1.0,1.0,0
2016,RB,23,rank_future_sum,30,0.650831949019865,False,5,0.784,2,1.0,486.76,4.0,0.0,0
2016,TE,23,rank_future_sum,30,0.3474216965866658,False,4,0.7980769230769231,2,1.0,443.5,3.0,0.0,0
2016,WR,23,rank_future_sum,54,0.4376628316207777,False,8,0.7934782608695652,2,0.0,12.6,8.0,1.0,0
2017,QB,23,rank_future_sum,10,0.5741633988358115,False,1,1.0,2,1.0,650.38,0.0,1.0,0
2017,RB,23,rank_future_sum,34,0.6279794055026767,False,7,0.9365079365079365,2,2.0,800.4000000000001,5.0,0.0,0
2017,TE,23,rank_future_sum,33,0.5665381746001962,False,4,0.7155172413793104,2,0.0,129.5,4.0,0.0,0
2017,WR,23,rank_future_sum,59,0.6115927770531977,False,12,0.8670212765957447,2,2.0,726.0,10.0,0.0,0
2018,QB,23,rank_future_sum,8,0.5773502691896258,False,0,,2,0.0,2.1,0.0,1.0,0
2018,RB,23,rank_future_sum,37,0.4985462170688925,False,3,0.7647058823529411,2,0.0,90.2,3.0,0.0,0
2018,TE,23,rank_future_sum,25,0.5919484432960412,False,6,0.7192982456140351,2,0.0,83.7,6.0,0.0,0
2018,WR,23,rank_future_sum,48,0.5471591666746259,False,5,0.8604651162790697,2,1.0,331.4,4.0,0.0,0
2019,QB,23,rank_future_sum,9,-0.018257418583505537,False,0,,2,0.0,0.0,0.0,2.0,0
2019,RB,23,rank_future_sum,39,0.4451894003638372,False,8,0.7338709677419355,2,2.0,601.7,6.0,0.0,0
2019,TE,23,rank_future_sum,30,0.43904939678534677,False,5,0.672,2,0.0,143.3,5.0,0.0,0
2019,WR,23,rank_future_sum,46,0.3865048230209342,False,9,0.6696696696696697,2,0.0,41.0,9.0,1.0,0
2020,QB,23,rank_future_sum,10,-0.20133002296840144,False,0,,2,0.0,0.0,0.0,2.0,0
2020,RB,23,rank_future_sum,39,0.6941277131937802,False,5,0.8588235294117647,2,2.0,382.2,3.0,0.0,0
2020,TE,23,rank_future_sum,33,0.5313005441106585,False,3,0.8444444444444444,2,1.0,255.10000000000002,2.0,0.0,0
2020,WR,23,rank_future_sum,50,0.5188799806948771,False,6,0.7045454545454546,2,1.0,473.1,5.0,0.0,0
2021,QB,23,rank_future_sum,14,0.16792878188768798,False,1,0.9230769230769231,2,1.0,532.0,0.0,0.0,0
2021,RB,23,rank_future_sum,34,0.43922579443937443,False,3,0.6774193548387096,2,1.0,397.98,2.0,0.0,0
2021,TE,23,rank_future_sum,32,0.5353966273698714,False,1,0.7419354838709677,2,0.0,53.60000000000001,1.0,0.0,0
2021,WR,23,rank_future_sum,55,0.5470868090777301,False,4,0.8235294117647058,2,0.0,52.6,4.0,1.0,0
2022,QB,23,rank_future_sum,13,0.1387051532678974,False,1,0.4166666666666667,2,0.0,-0.8400000000000001,1.0,1.0,0
2022,RB,23,rank_future_sum,35,0.32932392171774283,False,3,0.8854166666666666,2,1.0,258.2,2.0,1.0,0
2022,TE,23,rank_future_sum,34,0.5674861696832493,False,6,0.9166666666666666,2,1.0,304.9,5.0,0.0,0
2022,WR,23,rank_future_sum,58,0.5015344958329991,False,7,0.8263305322128851,2,1.0,455.3,6.0,0.0,0
2014,QB,23,rank_future_year1,7,-0.555936987495826,False,3,0.16666666666666666,2,0.0,0.0,3.0,2.0,0
2014,RB,23,rank_future_year1,36,0.37299038935393763,False,12,0.6458333333333334,2,1.0,273.7,11.0,0.0,0
2014,TE,23,rank_future_year1,28,0.5532212275206518,False,3,0.7466666666666667,2,0.0,91.5,3.0,0.0,0
2014,WR,23,rank_future_year1,47,0.5280410843200387,False,7,0.7642857142857142,2,1.0,305.2,6.0,0.0,0
2015,QB,23,rank_future_year1,9,-0.5606743638663345,False,2,0.35714285714285715,2,0.0,2.3600000000000003,2.0,0.0,0
2015,RB,23,rank_future_year1,31,0.6399368851683995,False,7,0.8095238095238095,2,1.0,535.5999999999999,6.0,1.0,0
2015,TE,23,rank_future_year1,28,0.3540566369633052,False,4,0.6979166666666666,2,1.0,127.7,3.0,1.0,0
2015,WR,23,rank_future_year1,50,0.5071425224527157,False,9,0.7750677506775068,2,2.0,483.6,7.0,0.0,0
2016,QB,23,rank_future_year1,12,0.3821018506402369,False,2,0.85,2,1.0,212.88,1.0,1.0,0
2016,RB,23,rank_future_year1,30,0.640794582823975,False,5,0.776,2,1.0,486.76,4.0,0.0,0
2016,TE,23,rank_future_year1,30,0.30632397811519846,False,4,0.7980769230769231,2,1.0,443.5,3.0,0.0,0
2016,WR,23,rank_future_year1,54,0.4250047265773738,False,8,0.7853260869565217,2,0.0,12.6,8.0,1.0,0
2017,QB,23,rank_future_year1,10,0.6338167389745972,False,1,1.0,2,1.0,650.38,0.0,1.0,0
2017,RB,23,rank_future_year1,34,0.602978981297544,False,7,0.9470899470899471,2,2.0,800.4000000000001,5.0,0.0,0
2017,TE,23,rank_future_year1,33,0.5766669858266598,False,4,0.75,2,1.0,381.6,3.0,0.0,0
2017,WR,23,rank_future_year1,59,0.5759104764531121,False,12,0.8723404255319149,2,2.0,726.0,10.0,0.0,0
2018,QB,23,rank_future_year1,8,0.08247860988423225,False,0,,2,0.0,0.0,0.0,2.0,0
2018,RB,23,rank_future_year1,37,0.4547049788879191,False,3,0.7549019607843137,2,0.0,21.700000000000003,3.0,1.0,0
2018,TE,23,rank_future_year1,25,0.5923394264157876,False,6,0.7105263157894737,2,0.0,83.7,6.0,0.0,0
2018,WR,23,rank_future_year1,48,0.5191963188717957,False,5,0.8372093023255814,2,1.0,331.4,4.0,0.0,0
2019,QB,23,rank_future_year1,9,-0.018257418583505537,False,0,,2,0.0,0.0,0.0,2.0,0
2019,RB,23,rank_future_year1,39,0.3718248549855269,False,8,0.6612903225806451,2,1.0,409.5,7.0,1.0,0
2019,TE,23,rank_future_year1,30,0.4217569141498114,False,5,0.664,2,0.0,143.3,5.0,0.0,0
2019,WR,23,rank_future_year1,46,0.33205266818291757,False,9,0.6606606606606606,2,0.0,41.0,9.0,1.0,0
2020,QB,23,rank_future_year1,10,-0.38029004338475825,False,0,,2,0.0,0.0,0.0,2.0,0
2020,RB,23,rank_future_year1,39,0.6754769608816488,False,5,0.8470588235294118,2,2.0,382.2,3.0,0.0,0
2020,TE,23,rank_future_year1,33,0.48571708465407193,False,3,0.8111111111111111,2,0.0,197.8,3.0,0.0,0
2020,WR,23,rank_future_year1,50,0.5260085562810489,False,6,0.6893939393939394,2,1.0,448.3,5.0,0.0,0
2021,QB,23,rank_future_year1,14,0.09635257977162426,False,1,0.9230769230769231,2,1.0,532.0,0.0,0.0,0
2021,RB,23,rank_future_year1,34,0.4539252389968216,False,3,0.6881720430107527,2,1.0,397.98,2.0,0.0,0
2021,TE,23,rank_future_year1,32,0.5054204873541237,False,1,0.6451612903225806,2,0.0,141.2,1.0,0.0,0
