origin,position,horizon,ordering,budget,n,picks,hits,points_captured,points_per_slot,misses,busts,boundary_ties,fractional_credit_applied
2014,QB,23,rank_future_sum,2,7,2,0.0,0.0,0.0,3.0,2.0,0,False
2014,RB,23,rank_future_sum,2,36,2,2.0,621.4,310.7,10.0,0.0,0,False
2014,TE,23,rank_future_sum,2,28,2,1.0,271.5,135.75,2.0,0.0,0,False
2014,WR,23,rank_future_sum,2,47,2,0.0,237.5,118.75,7.0,0.0,0,False
2015,QB,23,rank_future_sum,2,9,2,0.0,2.3600000000000003,1.1800000000000002,2.0,0.0,0,False
2015,RB,23,rank_future_sum,2,31,2,1.0,655.5999999999999,327.79999999999995,6.0,0.0,0,False
2015,TE,23,rank_future_sum,2,28,2,1.0,127.7,63.85,3.0,1.0,0,False
2015,WR,23,rank_future_sum,2,50,2,2.0,483.6,241.8,7.0,0.0,0,False
2016,QB,23,rank_future_sum,2,12,2,1.0,212.88,106.44,1.0,1.0,0,False
2016,RB,23,rank_future_sum,2,30,2,1.0,486.76,243.38,4.0,0.0,0,False
2016,TE,23,rank_future_sum,2,30,2,1.0,443.5,221.75,3.0,0.0,0,False
2016,WR,23,rank_future_sum,2,54,2,0.0,12.6,6.3,8.0,1.0,0,False
2017,QB,23,rank_future_sum,2,10,2,1.0,650.38,325.19,0.0,1.0,0,False
2017,RB,23,rank_future_sum,2,34,2,2.0,800.4000000000001,400.20000000000005,5.0,0.0,0,False
2017,TE,23,rank_future_sum,2,33,2,0.0,129.5,64.75,4.0,0.0,0,False
2017,WR,23,rank_future_sum,2,59,2,2.0,726.0,363.0,10.0,0.0,0,False
2018,QB,23,rank_future_sum,2,8,2,0.0,2.1,1.05,0.0,1.0,0,False
2018,RB,23,rank_future_sum,2,37,2,0.0,90.2,45.1,3.0,0.0,0,False
2018,TE,23,rank_future_sum,2,25,2,0.0,83.7,41.85,6.0,0.0,0,False
2018,WR,23,rank_future_sum,2,48,2,1.0,331.4,165.7,4.0,0.0,0,False
2019,QB,23,rank_future_sum,2,9,2,0.0,0.0,0.0,0.0,2.0,0,False
2019,RB,23,rank_future_sum,2,39,2,2.0,601.7,300.85,6.0,0.0,0,False
2019,TE,23,rank_future_sum,2,30,2,0.0,143.3,71.65,5.0,0.0,0,False
2019,WR,23,rank_future_sum,2,46,2,0.0,41.0,20.5,9.0,1.0,0,False
2020,QB,23,rank_future_sum,2,10,2,0.0,0.0,0.0,0.0,2.0,0,False
2020,RB,23,rank_future_sum,2,39,2,2.0,382.2,191.1,3.0,0.0,0,False
2020,TE,23,rank_future_sum,2,33,2,1.0,255.10000000000002,127.55000000000001,2.0,0.0,0,False
2020,WR,23,rank_future_sum,2,50,2,1.0,473.1,236.55,5.0,0.0,0,False
2021,QB,23,rank_future_sum,2,14,2,1.0,532.0,266.0,0.0,0.0,0,False
2021,RB,23,rank_future_sum,2,34,2,1.0,397.98,198.99,2.0,0.0,0,False
2021,TE,23,rank_future_sum,2,32,2,0.0,53.60000000000001,26.800000000000004,1.0,0.0,0,False
