player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,policy_2,persistence_2,policy_3,persistence_3,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0029531,2014,QB,7.840000000000001,artifact_row,25.76,6.44,4,25.0,2,True,2012.0,6.0,185.0,3.0,,3,1,35.708805461081184,14.958506449420623,29.641258002239365,12.965119285610015,33.20263965924707,11.02682811229848,62.84389766148644,35.708805461081184,23.991947397908497,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,1.0,1.0,2.0,7.0,1.0
00-0029682,2014,QB,0.62,artifact_row,6.080000000000001,1.5200000000000002,4,24.0,3,True,2012.0,2.0,57.0,3.0,,3,0,5.914771496579723,3.5305791619750546,7.48735138216659,3.0600902661688236,11.181223128975208,2.602605392964859,18.6685745111418,5.914771496579723,5.662695659133682,artifact_row+artifact_row,216.68,False,True,False,23,216.68,5.0,6.0,5.0,2.0,4.0
00-0030533,2014,QB,0.0,artifact_row,0.0,0.0,1,24.0,2,True,2013.0,4.0,98.0,2.0,,2,0,0.0,0.0,0.0,0.0,4.030605013818297,0.0,4.030605013818297,0.0,0.0,artifact_row+no_record_zero,65.64,False,True,True,23,65.64,7.0,7.0,7.0,4.0,7.0
00-0030586,2014,QB,2.0999999999999996,artifact_row,2.0999999999999996,1.0499999999999998,2,24.0,1,True,2013.0,4.0,110.0,2.0,,2,1,9.897929094552143,1.2194434605505942,7.4706089524276,1.0569390721964684,14.923540128284904,0.8989262048069412,22.394149080712502,9.897929094552143,1.9558652770034097,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,4.0,4.0,4.0,5.0,5.0
00-0031064,2014,QB,0.4800000000000001,artifact_row,0.4800000000000001,0.24,2,24.0,1,True,2014.0,4.0,135.0,1.0,,1,0,7.700894813074409,0.2787299338401359,5.386507704468178,0.2415860736449072,13.046905718673711,0.2054688468130152,18.43341342314189,7.700894813074409,0.4470549204579224,artifact_row+artifact_row,69.22,False,True,False,23,69.22,6.0,5.0,6.0,6.0,6.0
00-0031345,2014,QB,6.98,artifact_row,12.18,2.436,5,23.0,1,True,2014.0,2.0,62.0,1.0,,1,0,25.05708202812109,7.072772071193446,19.810404444095873,6.130246618739518,28.3720228623809,5.213771987880259,48.18242730647677,25.05708202812109,11.344018606619777,artifact_row+artifact_row,108.30000000000001,False,True,False,23,108.30000000000001,3.0,3.0,3.0,3.0,2.0
00-0031409,2014,QB,11.9,artifact_row,11.9,2.975,4,22.0,1,True,2014.0,1.0,22.0,1.0,,1,0,25.85114561312583,6.910179609786701,21.16402714538011,5.989321409113322,31.997251271909455,5.093915160572667,53.161278417289566,25.85114561312583,11.08323656968599,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,2.0,2.0,1.0,1.0,3.0
00-0029140,2014,RB,0.0,no_record_zero,0.0,,0,26.0,2,True,2012.0,5.0,159.0,3.0,,3,1,2.347894569389525,0.0,1.370614864504475,0.0,3.8744677928007,0.0,5.245082657305175,2.347894569389525,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,36.0,35.0,32.5,20.0,32.5
00-0029251,2014,RB,0.0,no_record_zero,0.0,,0,23.0,2,True,2012.0,1.0,32.0,3.0,,3,1,10.794561294123262,0.0,7.178944708429233,0.0,11.22398668380181,0.0,18.402931392231043,10.794561294123262,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,27.0,27.0,32.5,1.0,32.5
00-0029260,2014,RB,0.9,artifact_row,0.9,0.3,3,25.0,3,True,2012.0,2.0,61.0,3.0,,3,0,1.6679786012600537,0.4624024411794755,2.1501583922484713,0.3364382073329112,4.082377503951093,0.2349663212350149,6.232535896199564,1.6679786012600537,0.5714045285679261,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,35.0,36.0,27.0,5.0,27.0
00-0029264,2014,RB,49.1,artifact_row,56.6,3.7733333333333334,15,23.0,3,True,2012.0,3.0,84.0,3.0,,3,0,65.5176993754679,29.079975745287015,56.30115153366511,21.158225038936415,43.79718179419099,14.776770868779831,100.0983333278561,65.5176993754679,35.93499590771624,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,9.0,12.0,11.0,8.0,12.0
00-0029273,2014,RB,68.0,artifact_row,81.2,4.273684210526316,19,25.0,3,True,2012.0,4.0,106.0,3.0,,3,0,67.02289749152602,41.71897580419268,53.42538436772093,30.35420270603599,39.7113506015057,21.199183649203576,93.13673496922664,67.02289749152602,51.55338635523957,artifact_row+artifact_row,122.9,False,True,False,23,122.9,12.0,10.0,8.0,12.0,7.0
00-0029298,2014,RB,9.1,artifact_row,9.1,1.3,7,25.0,3,True,2012.0,6.0,182.0,3.0,,3,0,11.730332415761607,4.675402460814697,7.183017521981882,3.4017640963661018,7.42211624780382,2.3757705813762624,14.605133769785702,11.730332415761607,5.777534677742365,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,28.0,26.0,23.0,24.5,24.0
00-0029317,2014,RB,0.2,artifact_row,0.2,0.2,1,23.0,2,True,2012.0,7.0,250.0,3.0,,3,1,10.240401803109966,0.1027560980398834,14.729627005207766,0.0747640460739802,10.327469437523549,0.0522147380522255,25.057096442731314,10.240401803109966,0.1269787841262057,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,25.0,28.0,28.0,34.0,28.0
00-0029588,2014,RB,65.80000000000001,artifact_row,135.20000000000002,7.952941176470589,17,25.0,3,True,2012.0,6.0,191.0,3.0,,3,0,84.96963987092691,69.46312227496122,67.10051927957737,50.54049514601066,47.46579540744567,35.29716292330448,114.56631468702304,84.96963987092691,85.83765806931514,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,5.0,4.0,9.0,28.0,1.0
