player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0027071,2011,QB,14.080000000000002,artifact_row,14.080000000000002,14.080000000000002,1,26.0,2,True,2009.0,4.0,101.0,3.0,,3,1,59.432893879635,8.598600557812611,59.432893879635,59.432893879635,8.598600557812611,no_record_zero,0.0,False,False,True,1,0.0,2.0,2.0,4.0,4.0,4.0
00-0027121,2011,QB,0.0,artifact_row,0.0,0.0,1,27.0,1,True,2009.0,6.0,174.0,3.0,,3,2,4.8346232425486475,0.0,4.8346232425486475,4.8346232425486475,0.0,no_record_zero,0.0,False,False,True,1,0.0,12.0,12.0,10.0,7.0,10.0
00-0027659,2011,QB,0.0,no_record_zero,0.0,,0,24.0,1,True,2010.0,2.0,48.0,2.0,,2,1,24.46341994359519,0.0,24.46341994359519,24.46341994359519,0.0,no_record_zero,0.0,False,False,True,1,0.0,5.0,5.0,10.0,3.0,10.0
00-0027722,2011,QB,0.2800000000000004,artifact_row,0.2800000000000004,0.0933333333333334,3,24.0,1,True,2010.0,4.0,122.0,2.0,,2,1,12.98608742493734,0.170994897456501,12.98608742493734,12.98608742493734,0.170994897456501,no_record_zero,0.0,False,False,True,1,0.0,7.0,7.0,7.0,5.0,7.0
00-0027775,2011,QB,0.0,no_record_zero,0.0,,0,24.0,1,True,2010.0,6.0,176.0,2.0,,2,1,9.035399484366934,0.0,9.035399484366934,9.035399484366934,0.0,artifact_row,1.36,False,True,False,1,1.36,10.0,10.0,10.0,8.0,10.0
00-0027796,2011,QB,46.14,artifact_row,50.34,6.2924999999999995,8,25.0,2,True,2010.0,6.0,199.0,2.0,,2,0,55.16887000159331,30.74243977842946,55.16887000159331,55.16887000159331,30.74243977842946,artifact_row,-0.1,False,True,False,1,-0.1,4.0,4.0,2.0,10.0,2.0
00-0027801,2011,QB,0.0,no_record_zero,0.0,,0,25.0,1,True,2010.0,6.0,204.0,2.0,,2,1,9.891019245618558,0.0,9.891019245618558,9.891019245618558,0.0,no_record_zero,0.0,False,False,True,1,0.0,9.0,9.0,10.0,11.0,10.0
00-0027804,2011,QB,0.0,no_record_zero,0.0,,0,24.0,1,True,2010.0,7.0,209.0,2.0,,2,1,6.948191174992928,0.0,6.948191174992928,6.948191174992928,0.0,no_record_zero,0.0,False,False,True,1,0.0,11.0,11.0,10.0,12.0,10.0
00-0027946,2011,QB,49.28,artifact_row,49.28,9.856,5,23.0,1,True,2011.0,1.0,8.0,1.0,,1,0,63.059792677721774,30.095101952344137,63.059792677721774,63.059792677721774,30.095101952344137,artifact_row,125.76,True,True,False,1,125.76,1.0,1.0,1.0,1.0,3.0
00-0027974,2011,QB,1.2000000000000002,artifact_row,1.2000000000000002,0.6000000000000001,2,24.0,1,True,2011.0,2.0,36.0,1.0,,1,0,12.369793490582277,0.7328352748135749,12.369793490582277,12.369793490582277,0.7328352748135749,artifact_row,154.52,True,True,False,1,154.52,8.0,8.0,5.0,2.0,5.0
