gsis_id,name,draft_season,origin_year,draft_position,pick,round,log_pick,birth_date,age_at_origin,first_full_reg_season,window_absent_through_draft_season,appear_1,points_1,games_1,label_source_1,appear_2,points_2,games_2,label_source_2,appear_3,points_3,games_3,label_source_3,appear_4,points_4,games_4,label_source_4,appear_5,points_5,games_5,label_source_5,candidate_p_appear,candidate_e_points_given_appear,candidate_e_games_given_appear,candidate_e_points,candidate_e_games,candidate_supported,b1_p_appear,b1_e_points_given_appear,b1_e_games_given_appear,b1_e_points,b1_e_games,b1_supported,b2_p_appear,b2_e_points_given_appear,b2_e_games_given_appear,b2_e_points,b2_e_games,b2_supported,origin,horizon
00-0027976,Ryan Williams,2011,2012,RB,38,2,3.6375861597263857,1990-04-09,22.39835728952772,2012.0,True,1.0,23.8,5.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.8437298159268088,73.42718517044877,10.024707540725842,61.95270542788644,8.458144648056708,True,0.4,42.25750000000001,8.0,16.903,3.2,True,0.7802427829282739,73.42718517044877,10.024707540725842,57.291031299980624,7.821705709617984,True,2012,1
00-0027995,Mikel Leshoure,2011,2012,RB,57,2,4.04305126783455,1990-03-30,22.425735797399042,2012.0,True,1.0,172.5,13.0,artifact,1.0,0.9,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.7655716226230831,61.83908797960059,9.265954571965977,47.34225092607442,7.093751876811769,True,0.4,42.25750000000001,8.0,16.903,3.2,True,0.6893305182090458,61.83908797960059,9.265954571965977,42.62757056255285,6.387305266794784,True,2012,1
00-0028012,Ryan Mallett,2011,2012,QB,74,3,4.30406509320417,1988-06-05,24.240930869267626,2012.0,True,1.0,-2.22,3.0,artifact,0.0,0.0,0.0,convention_zero,1.0,19.799999999999997,3.0,artifact,1.0,58.86,6.0,artifact,1.0,-0.04,3.0,artifact,0.5517805097286873,30.636313384231883,4.487588325413068,16.904520615359274,2.4761637736489286,True,0.34545454545454546,23.37473684210526,4.0,8.074909090909092,1.3818181818181818,True,0.5492450609663897,30.636313384231883,4.487588325413068,16.82684381250786,2.464785723383559,True,2012,1
00-0028073,Ricky Stanzi,2011,2012,QB,135,5,4.90527477843843,1987-09-03,24.996577686516083,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.3377368103459807,13.453882330965264,3.3625355788349665,4.543871305230356,1.1356520410705975,True,0.34545454545454546,23.37473684210526,4.0,8.074909090909092,1.3818181818181818,True,0.370350697725843,13.453882330965264,3.3625355788349665,4.982654708394377,1.2453173977495011,True,2012,1
00-0028098,Nathan Enderle,2011,2012,QB,160,5,5.075173815233827,1988-01-12,24.637919233401778,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.3116586382032286,8.598207917443748,3.0446009502317093,2.6797057705387366,0.9488761860214703,True,0.34545454545454546,23.37473684210526,4.0,8.074909090909092,1.3818181818181818,True,0.32570159543002725,8.598207917443748,3.0446009502317093,2.800450036550521,0.9916313869382447,True,2012,1
00-0028116,Aldrick Robinson,2011,2012,WR,178,6,5.181783550292085,1988-09-24,23.93702943189596,2012.0,True,1.0,54.1,9.0,artifact,1.0,60.0,12.0,artifact,1.0,1.6,2.0,artifact,0.0,0.0,0.0,convention_zero,1.0,58.7,12.0,artifact,0.419199599272862,14.477536642289758,5.018625976783699,6.068977558906043,2.1038059983681023,True,0.4246575342465753,17.103225806451615,5.193548387096774,7.263013698630138,2.2054794520547945,True,0.40729728045515756,14.477536642289758,5.018625976783699,5.896661302094512,2.0440727119656095,True,2012,1
00-0028120,Ronald Johnson,2011,2012,WR,182,6,5.204006687076795,1988-08-03,24.079397672826833,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.4040751157920005,13.842404632661854,4.977039485928222,5.5933712547825625,2.011097806577805,True,0.4246575342465753,17.103225806451615,5.193548387096774,7.263013698630138,2.2054794520547945,True,0.4010925672512409,13.842404632661854,4.977039485928222,5.552085611044813,1.9962535447217467,True,2012,1
00-0028121,Jordan Todman,2011,2012,RB,183,6,5.209486152841421,1990-02-24,22.518822724161534,2012.0,True,1.0,1.8,1.0,artifact,1.0,66.7,15.0,artifact,1.0,54.6,15.0,artifact,1.0,2.2,6.0,artifact,1.0,11.9,13.0,artifact,0.45420343931626855,28.50265398328836,7.083187388882162,12.946003468851115,3.2172080733518977,True,0.4,42.25750000000001,8.0,16.903,3.2,True,0.3502465043470893,28.50265398328836,7.083187388882162,9.98295492226139,2.4808616225913642,True,2012,1
00-0028146,Greg McElroy,2011,2012,QB,208,7,5.337538079701318,1988-05-10,24.31211498973306,2012.0,True,1.0,11.56,2.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.27066860341690074,1.0998990981220373,2.55363474727029,0.2977081527882005,0.6911887506805197,True,0.34545454545454546,23.37473684210526,4.0,8.074909090909092,1.3818181818181818,True,0.25670373071996994,1.0998990981220373,2.55363474727029,0.2823482019034573,0.655527566520431,True,2012,1
00-0028161,Shane Bannon,2011,2012,RB,223,7,5.407171771460119,1989-04-20,23.367556468172484,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.350897876647262,22.852845612662048,6.7132553108596715,8.01901500083081,2.3556670339716135,True,0.4,42.25750000000001,8.0,16.903,3.2,True,0.29675477753073376,22.852845612662048,6.7132553108596715,6.781691115729731,1.9921905862811788,True,2012,1
