origin,horizon,train_rows,train_appearers,train_rows_by_position,train_appearers_by_position,test_rows,test_appearers
2012,1,199,74,"{""QB"": 55, ""RB"": 40, ""TE"": 31, ""WR"": 73}","{""QB"": 19, ""RB"": 16, ""TE"": 8, ""WR"": 31}",15,8
2012,2,184,56,"{""QB"": 50, ""RB"": 36, ""TE"": 29, ""WR"": 69}","{""QB"": 15, ""RB"": 14, ""TE"": 5, ""WR"": 22}",15,4
2012,3,164,40,"{""QB"": 45, ""RB"": 31, ""TE"": 25, ""WR"": 63}","{""QB"": 12, ""RB"": 9, ""TE"": 5, ""WR"": 14}",15,3
2012,4,141,28,"{""QB"": 38, ""RB"": 28, ""TE"": 22, ""WR"": 53}","{""QB"": 6, ""RB"": 8, ""TE"": 5, ""WR"": 9}",15,2
2012,5,119,21,"{""QB"": 35, ""RB"": 24, ""TE"": 18, ""WR"": 42}","{""QB"": 9, ""RB"": 6, ""TE"": 2, ""WR"": 4}",15,3
2013,1,214,82,"{""QB"": 59, ""RB"": 47, ""TE"": 32, ""WR"": 76}","{""QB"": 21, ""RB"": 21, ""TE"": 8, ""WR"": 32}",15,6
2013,2,199,61,"{""QB"": 55, ""RB"": 40, ""TE"": 31, ""WR"": 73}","{""QB"": 15, ""RB"": 16, ""TE"": 6, ""WR"": 24}",15,5
2013,3,184,44,"{""QB"": 50, ""RB"": 36, ""TE"": 29, ""WR"": 69}","{""QB"": 12, ""RB"": 11, ""TE"": 6, ""WR"": 15}",15,0
2013,4,164,29,"{""QB"": 45, ""RB"": 31, ""TE"": 25, ""WR"": 63}","{""QB"": 6, ""RB"": 9, ""TE"": 5, ""WR"": 9}",15,0
2013,5,141,25,"{""QB"": 38, ""RB"": 28, ""TE"": 22, ""WR"": 53}","{""QB"": 9, ""RB"": 7, ""TE"": 4, ""WR"": 5}",15,0
2014,1,229,88,"{""QB"": 61, ""RB"": 50, ""TE"": 35, ""WR"": 83}","{""QB"": 21, ""RB"": 23, ""TE"": 9, ""WR"": 35}",22,8
2014,2,214,65,"{""QB"": 59, ""RB"": 47, ""TE"": 32, ""WR"": 76}","{""QB"": 15, ""RB"": 19, ""TE"": 6, ""WR"": 25}",22,10
2014,3,199,47,"{""QB"": 55, ""RB"": 40, ""TE"": 31, ""WR"": 73}","{""QB"": 12, ""RB"": 12, ""TE"": 6, ""WR"": 17}",22,7
2014,4,184,34,"{""QB"": 50, ""RB"": 36, ""TE"": 29, ""WR"": 69}","{""QB"": 6, ""RB"": 12, ""TE"": 6, ""WR"": 10}",22,6
2014,5,164,26,"{""QB"": 45, ""RB"": 31, ""TE"": 25, ""WR"": 63}","{""QB"": 10, ""RB"": 7, ""TE"": 4, ""WR"": 5}",22,3
2015,1,251,96,"{""QB"": 68, ""RB"": 54, ""TE"": 38, ""WR"": 91}","{""QB"": 22, ""RB"": 25, ""TE"": 10, ""WR"": 39}",16,5
2015,2,229,70,"{""QB"": 61, ""RB"": 50, ""TE"": 35, ""WR"": 83}","{""QB"": 15, ""RB"": 20, ""TE"": 7, ""WR"": 28}",16,3
2015,3,214,50,"{""QB"": 59, ""RB"": 47, ""TE"": 32, ""WR"": 76}","{""QB"": 13, ""RB"": 13, ""TE"": 6, ""WR"": 18}",16,5
2015,4,199,37,"{""QB"": 55, ""RB"": 40, ""TE"": 31, ""WR"": 73}","{""QB"": 6, ""RB"": 13, ""TE"": 6, ""WR"": 12}",16,3
2015,5,184,29,"{""QB"": 50, ""RB"": 36, ""TE"": 29, ""WR"": 69}","{""QB"": 10, ""RB"": 9, ""TE"": 5, ""WR"": 5}",16,5
2016,1,267,101,"{""QB"": 73, ""RB"": 56, ""TE"": 41, ""WR"": 97}","{""QB"": 23, ""RB"": 25, ""TE"": 10, ""WR"": 43}",18,10
2016,2,251,80,"{""QB"": 68, ""RB"": 54, ""TE"": 38, ""WR"": 91}","{""QB"": 19, ""RB"": 22, ""TE"": 9, ""WR"": 30}",18,8
2016,3,229,50,"{""QB"": 61, ""RB"": 50, ""TE"": 35, ""WR"": 83}","{""QB"": 13, ""RB"": 13, ""TE"": 6, ""WR"": 18}",18,4
2016,4,214,39,"{""QB"": 59, ""RB"": 47, ""TE"": 32, ""WR"": 76}","{""QB"": 7, ""RB"": 14, ""TE"": 6, ""WR"": 12}",18,4
2016,5,199,30,"{""QB"": 55, ""RB"": 40, ""TE"": 31, ""WR"": 73}","{""QB"": 10, ""RB"": 9, ""TE"": 5, ""WR"": 6}",18,2
2017,1,285,111,"{""QB"": 76, ""RB"": 57, ""TE"": 48, ""WR"": 104}","{""QB"": 25, ""RB"": 25, ""TE"": 15, ""WR"": 46}",19,1
2017,2,267,83,"{""QB"": 73, ""RB"": 56, ""TE"": 41, ""WR"": 97}","{""QB"": 19, ""RB"": 22, ""TE"": 9, ""WR"": 33}",19,4
2017,3,251,57,"{""QB"": 68, ""RB"": 54, ""TE"": 38, ""WR"": 91}","{""QB"": 14, ""RB"": 15, ""TE"": 7, ""WR"": 21}",19,2
2017,4,229,39,"{""QB"": 61, ""RB"": 50, ""TE"": 35, ""WR"": 83}","{""QB"": 7, ""RB"": 14, ""TE"": 6, ""WR"": 12}",19,2
2017,5,214,33,"{""QB"": 59, ""RB"": 47, ""TE"": 32, ""WR"": 76}","{""QB"": 11, ""RB"": 10, ""TE"": 5, ""WR"": 7}",19,1
2018,1,304,112,"{""QB"": 82, ""RB"": 62, ""TE"": 51, ""WR"": 109}","{""QB"": 26, ""RB"": 25, ""TE"": 15, ""WR"": 46}",20,8
2018,2,285,91,"{""QB"": 76, ""RB"": 57, ""TE"": 48, ""WR"": 104}","{""QB"": 21, ""RB"": 22, ""TE"": 13, ""WR"": 35}",20,4
2018,3,267,62,"{""QB"": 73, ""RB"": 56, ""TE"": 41, ""WR"": 97}","{""QB"": 16, ""RB"": 15, ""TE"": 7, ""WR"": 24}",20,4
2018,4,251,45,"{""QB"": 68, ""RB"": 54, ""TE"": 38, ""WR"": 91}","{""QB"": 8, ""RB"": 16, ""TE"": 7, ""WR"": 14}",20,4
2018,5,229,33,"{""QB"": 61, ""RB"": 50, ""TE"": 35, ""WR"": 83}","{""QB"": 11, ""RB"": 10, ""TE"": 5, ""WR"": 7}",20,2
2019,1,324,120,"{""QB"": 86, ""RB"": 67, ""TE"": 55, ""WR"": 116}","{""QB"": 28, ""RB"": 26, ""TE"": 18, ""WR"": 48}",20,10
2019,2,304,95,"{""QB"": 82, ""RB"": 62, ""TE"": 51, ""WR"": 109}","{""QB"": 23, ""RB"": 23, ""TE"": 14, ""WR"": 35}",20,9
2019,3,285,66,"{""QB"": 76, ""RB"": 57, ""TE"": 48, ""WR"": 104}","{""QB"": 16, ""RB"": 15, ""TE"": 9, ""WR"": 26}",20,7
2019,4,267,48,"{""QB"": 73, ""RB"": 56, ""TE"": 41, ""WR"": 97}","{""QB"": 9, ""RB"": 16, ""TE"": 7, ""WR"": 16}",20,3
2019,5,251,36,"{""QB"": 68, ""RB"": 54, ""TE"": 38, ""WR"": 91}","{""QB"": 11, ""RB"": 12, ""TE"": 6, ""WR"": 7}",20,5
2020,1,344,130,"{""QB"": 93, ""RB"": 70, ""TE"": 57, ""WR"": 124}","{""QB"": 30, ""RB"": 29, ""TE"": 20, ""WR"": 51}",16,6
2020,2,324,99,"{""QB"": 86, ""RB"": 67, ""TE"": 55, ""WR"": 116}","{""QB"": 23, ""RB"": 24, ""TE"": 14, ""WR"": 38}",16,1
2020,3,304,68,"{""QB"": 82, ""RB"": 62, ""TE"": 51, ""WR"": 109}","{""QB"": 18, ""RB"": 15, ""TE"": 9, ""WR"": 26}",16,1
2020,4,285,52,"{""QB"": 76, ""RB"": 57, ""TE"": 48, ""WR"": 104}","{""QB"": 10, ""RB"": 16, ""TE"": 9, ""WR"": 17}",16,2
2020,5,267,41,"{""QB"": 73, ""RB"": 56, ""TE"": 41, ""WR"": 97}","{""QB"": 14, ""RB"": 12, ""TE"": 6, ""WR"": 9}",16,1
2021,1,360,136,"{""QB"": 95, ""RB"": 75, ""TE"": 60, ""WR"": 130}","{""QB"": 31, ""RB"": 31, ""TE"": 21, ""WR"": 53}",11,8
2021,2,344,108,"{""QB"": 93, ""RB"": 70, ""TE"": 57, ""WR"": 124}","{""QB"": 25, ""RB"": 25, ""TE"": 16, ""WR"": 42}",11,7
2021,3,324,72,"{""QB"": 86, ""RB"": 67, ""TE"": 55, ""WR"": 116}","{""QB"": 18, ""RB"": 15, ""TE"": 11, ""WR"": 28}",11,4
2021,4,304,54,"{""QB"": 82, ""RB"": 62, ""TE"": 51, ""WR"": 109}","{""QB"": 12, ""RB"": 16, ""TE"": 9, ""WR"": 17}",11,3
2021,5,285,43,"{""QB"": 76, ""RB"": 57, ""TE"": 48, ""WR"": 104}","{""QB"": 14, ""RB"": 12, ""TE"": 6, ""WR"": 11}",11,3
2022,1,371,144,"{""QB"": 100, ""RB"": 76, ""TE"": 61, ""WR"": 134}","{""QB"": 34, ""RB"": 32, ""TE"": 22, ""WR"": 56}",7,2
2022,2,360,109,"{""QB"": 95, ""RB"": 75, ""TE"": 60, ""WR"": 130}","{""QB"": 25, ""RB"": 26, ""TE"": 16, ""WR"": 42}",7,3
2022,3,344,79,"{""QB"": 93, ""RB"": 70, ""TE"": 57, ""WR"": 124}","{""QB"": 21, ""RB"": 16, ""TE"": 11, ""WR"": 31}",7,4
2022,4,324,58,"{""QB"": 86, ""RB"": 67, ""TE"": 55, ""WR"": 116}","{""QB"": 13, ""RB"": 16, ""TE"": 9, ""WR"": 20}",7,2
2022,5,304,44,"{""QB"": 82, ""RB"": 62, ""TE"": 51, ""WR"": 109}","{""QB"": 15, ""RB"": 12, ""TE"": 6, ""WR"": 11}",0,0
